cod_ibge,Municipio,nome_microrregiao,idx_gobernanza,idx_vulnerabilidad,idx_riesgo_total,idx_riesgo_salud,idx_riesgo_clima,idx_riesgo_nutricion
353960,Planalto,São José do Rio Preto,0.3,19.64187160839324,47.794420615980314,40.0,33.116883116883116,92.73833684613531
351290,Cosmorama,Votuporanga,0.216,18.538497932619403,47.77258430999393,45.0,27.27272727272727,94.31746700451511
351810,Guarantã,Bauru,0.2699999999999999,18.999165798146016,47.77117250916484,37.5,35.714285714285715,92.42729111725278
351780,Guaraçaí,Andradina,0.3159999999999999,17.371045756102674,47.765746672825614,50.0,24.025974025974026,90.77678531218002
354370,Rincão,Araraquara,0.13,20.025824602502205,47.71788270916573,42.5,28.57142857142857,96.44655640297148
353570,Paraíso,Catanduva,0.18,15.912229955707048,47.31085946087322,47.5,24.675324675324674,92.20364795371674
350080,Alfredo Marcondes,Presidente Prudente,0.216,19.767985592379684,47.302706726559144,32.5,36.36363636363637,98.78626090552298
352780,Lupércio,Marília,0.17,22.065327877329064,46.954321492859606,37.5,35.064935064935064,89.64173733442789
352020,Igaratá,São José dos Campos,0.18,21.411251218162985,46.88291092110208,45.0,32.467532467532465,79.47948967044546
352650,Lavínia,Araçatuba,0.29,40.22573878800734,46.800396001257496,37.5,30.519480519480517,97.96301896732643
351320,Cristais Paulista,Franca,0.3259999999999999,22.52374241137153,46.77100790567221,35.0,35.714285714285715,92.42646809978963
355365,Taquaral,Jaboticabal,0.09,20.681259617415297,46.53221175809338,32.5,34.41558441558442,98.82988995929807
353325,Novais,Catanduva,0.196,23.25767628745135,46.51773629244023,40.0,27.92207792207792,96.74452561804533
350980,Campos Novos Paulista,Assis,0.166,21.425727601636275,46.4318473618609,42.5,25.974025974025977,95.21118486125256
352890,Mariápolis,Adamantina,0.346,17.354277643404192,46.354363621362154,42.5,24.025974025974026,98.7198700548627
355350,Tapiraí,Piedade,0.21,25.000578668414114,45.98146008217832,47.5,38.42857142857143,58.05015755374875
355390,Tarabai,Presidente Prudente,0.2299999999999999,20.330776418571407,45.90340408179086,32.5,33.116883116883116,98.28325417518806
352115,Ipiguá,São José do Rio Preto,0.27,19.41721737813635,45.8455410436481,40.0,27.92207792207792,93.38354937408464
352080,Inúbia Paulista,Adamantina,0.246,16.120534649823945,45.77594511778297,37.5,29.22077922077922,95.4381671473564
354450,Rubinéia,Jales,0.336,18.717064076944187,45.65926344606049,45.0,19.48051948051948,99.33527826926351
353040,Mirassolândia,São José do Rio Preto,0.346,21.266409259908063,45.50207479596407,35.0,32.467532467532465,92.5753090447554
353270,Nipoã,Nhandeara,0.22,19.34304977021847,45.49118982505291,35.0,31.818181818181817,93.81958548890091
355495,Tuiuti,Bragança Paulista,0.2659999999999999,28.670781564240677,45.43352516024392,37.5,28.57142857142857,95.02476865836245
353290,Nova Europa,Araraquara,0.3199999999999999,17.135954954836237,45.35041067903785,30.0,35.064935064935064,96.6221832653191
351890,Guzolândia,Auriflama,0.3059999999999999,20.117650975685144,45.081498386015255,27.5,37.01298701298701,96.38151790410224
351980,Icém,São José do Rio Preto,0.196,22.084561913744704,45.024527238693665,40.0,25.974025974025977,93.17458424541637
353420,Orindiúva,São José do Rio Preto,0.116,20.457827954566465,44.994196951195974,42.5,22.07792207792208,95.81514060013569
350260,Aparecida d'Oeste,Jales,0.166,19.03446799962149,44.95778863545847,40.0,23.376623376623375,98.03569642404561
