municipio,2013,2014,2015,2016,Total,cod
353050 MOCOCA,0,459,3392,268,4119,353050
353060 MOGI DAS CRUZES,0,118,885,262,1265,353060
353070 MOGI GUACU,0,1179,9191,150,10520,353070
353080 MOGI MIRIM,0,1111,2088,185,3384,353080
353090 MOMBUCA,0,1,28,3,32,353090
353100 MONCOES,0,9,61,65,135,353100
353110 MONGAGUA,0,287,894,40,1221,353110
353120 MONTE ALEGRE DO SUL,0,10,128,17,155,353120
353130 MONTE ALTO,0,25,328,76,429,353130
353140 MONTE APRAZIVEL,0,118,604,202,924,353140
353150 MONTE AZUL PAULISTA,0,29,423,596,1048,353150
353160 MONTE CASTELO,0,7,41,11,59,353160
353170 MONTEIRO LOBATO,0,5,19,3,27,353170
353180 MONTE MOR,0,354,1071,49,1474,353180
353190 MORRO AGUDO,0,21,78,120,219,353190
353200 MORUNGABA,0,9,39,11,59,353200
353205 MOTUCA,0,43,21,18,82,353205
353210 MURUTINGA DO SUL,0,5,104,74,183,353210
353215 NANTES,0,0,13,11,24,353215
353220 NARANDIBA,0,18,19,30,67,353220
353230 NATIVIDADE DA SERRA,0,28,7,6,41,353230
353240 NAZARE PAULISTA,0,26,78,41,145,353240
353250 NEVES PAULISTA,0,12,797,81,890,353250
353260 NHANDEARA,0,84,77,26,187,353260
353270 NIPOA,0,6,167,17,190,353270
353280 NOVA ALIANCA,0,7,178,145,330,353280
353282 NOVA CAMPINA,0,1,4,0,5,353282
353284 NOVA CANAA PAULISTA,0,5,305,13,323,353284
353286 NOVA CASTILHO,0,1,0,32,33,353286
353290 NOVA EUROPA,0,26,58,33,117,353290
353300 NOVA GRANADA,0,1,190,117,308,353300
353310 NOVA GUATAPORANGA,0,1,79,2,82,353310
353320 NOVA INDEPENDENCIA,0,10,58,40,108,353320
353325 NOVAIS,0,7,189,8,204,353325
353330 NOVA LUZITANIA,0,13,21,5,39,353330
353340 NOVA ODESSA,1,628,2866,146,3641,353340
353350 NOVO HORIZONTE,0,21,355,59,435,353350
353360 NUPORANGA,0,3,181,247,431,353360
353370 OCAUCU,0,6,44,8,58,353370
353380 OLEO,0,1,2,1,4,353380
353390 OLIMPIA,0,135,543,212,890,353390
353400 ONDA VERDE,0,2,754,28,784,353400
353410 ORIENTE,0,11,219,14,244,353410
353420 ORINDIUVA,0,1,107,6,114,353420
353430 ORLANDIA,0,37,505,796,1338,353430
353440 OSASCO,1,6588,2464,771,9824,353440
353450 OSCAR BRESSANE,0,19,43,5,67,353450
353460 OSVALDO CRUZ,0,17,835,208,1060,353460
353470 OURINHOS,0,216,6261,91,6568,353470
353475 OUROESTE,0,36,250,96,382,353475
353480 OURO VERDE,0,34,167,12,213,353480
353490 PACAEMBU,0,18,175,51,244,353490
353500 PALESTINA,0,11,334,69,414,353500
353510 PALMARES PAULISTA,0,4,465,16,485,353510
353520 PALMEIRA D'OESTE,0,58,75,47,180,353520
353530 PALMITAL,0,78,569,22,669,353530
353540 PANORAMA,0,32,200,63,295,353540
353550 PARAGUACU PAULISTA,0,161,4700,78,4939,353550
353560 PARAIBUNA,0,6,170,18,194,353560
353570 PARAISO,0,8,87,10,105,353570
353580 PARANAPANEMA,0,1,102,5,108,353580
353590 PARANAPUA,0,40,360,48,448,353590
353600 PARAPUA,0,33,446,18,497,353600
353610 PARDINHO,0,0,14,0,14,353610
353620 PARIQUERA-ACU,0,19,139,23,181,353620
353625 PARISI,0,148,42,28,218,353625
353630 PATROCINIO PAULISTA,0,20,137,178,335,353630
353640 PAULICEIA,0,64,204,17,285,353640
353650 PAULINIA,0,1019,3715,170,4904,353650
353657 PAULISTANIA,0,0,19,0,19,353657
353660 PAULO DE FARIA,0,4,142,63,209,353660
353670 PEDERNEIRAS,0,74,707,141,922,353670
353680 PEDRA BELA,0,5,9,8,22,353680
353690 PEDRANOPOLIS,0,30,39,14,83,353690
353700 PEDREGULHO,0,13,62,18,93,353700
353710 PEDREIRA,0,1368,394,38,1800,353710
353715 PEDRINHAS PAULISTA,0,11,74,0,85,353715
353720 PEDRO DE TOLEDO,0,3,202,5,210,353720
353730 PENAPOLIS,0,283,3052,162,3497,353730
353740 PEREIRA BARRETO,0,39,364,205,608,353740
353750 PEREIRAS,0,5,25,3,33,353750
353760 PERUIBE,0,316,2280,131,2727,353760
353770 PIACATU,0,50,25,22,97,353770
353780 PIEDADE,1,5,195,12,213,353780
353790 PILAR DO SUL,0,2,41,4,47,353790
353800 PINDAMONHANGABA,0,2888,952,416,4256,353800
353810 PINDORAMA,0,13,582,6,601,353810
353820 PINHALZINHO,0,7,28,11,46,353820
353830 PIQUEROBI,0,3,9,42,54,353830
353850 PIQUETE,0,5,138,11,154,353850
353860 PIRACAIA,0,18,693,5,716,353860
353870 PIRACICABA,1,931,3728,2331,6991,353870
353880 PIRAJU,0,4,68,8,80,353880
353890 PIRAJUI,0,16,1524,78,1618,353890
353900 PIRANGI,0,39,956,82,1077,353900
353910 PIRAPORA DO BOM JESUS,0,77,301,29,407,353910
353920 PIRAPOZINHO,0,26,1573,142,1741,353920
353930 PIRASSUNUNGA,0,103,4330,104,4537,353930
353940 PIRATININGA,0,0,427,32,459,353940
353950 PITANGUEIRAS,0,47,283,468,798,353950
353960 PLANALTO,0,35,321,63,419,353960
353970 PLATINA,0,9,37,3,49,353970
353980 POA,0,26,399,201,626,353980
353990 POLONI,0,3,71,46,120,353990
354000 POMPEIA,0,105,898,9,1012,354000
354010 PONGAI,0,0,29,1,30,354010
354020 PONTAL,0,121,251,1018,1390,354020
354025 PONTALINDA,0,8,127,26,161,354025
354030 PONTES GESTAL,0,46,120,44,210,354030
354040 POPULINA,0,2,119,80,201,354040
354050 PORANGABA,0,17,29,1,47,354050
354060 PORTO FELIZ,0,130,765,64,959,354060
354070 PORTO FERREIRA,0,798,4545,244,5587,354070
354075 POTIM,0,131,1030,27,1188,354075
354080 POTIRENDABA,0,40,175,193,408,354080
354085 PRACINHA,0,0,30,1,31,354085
354090 PRADOPOLIS,0,12,77,97,186,354090
354100 PRAIA GRANDE,0,374,3440,721,4535,354100
354105 PRATANIA,0,2,14,1,17,354105
354110 PRESIDENTE ALVES,0,4,23,4,31,354110
354120 PRESIDENTE BERNARDES,0,13,114,57,184,354120
354130 PRESIDENTE EPITACIO,0,64,279,773,1116,354130
354140 PRESIDENTE PRUDENTE,0,236,3475,13121,16832,354140
354150 PRESIDENTE VENCESLAU,0,21,587,196,804,354150
354160 PROMISSAO,0,496,422,26,944,354160
354165 QUADRA,0,0,3,1,4,354165
354170 QUATA,0,11,338,87,436,354170
354180 QUEIROZ,0,7,58,0,65,354180
354190 QUELUZ,0,10,362,59,431,354190
354200 QUINTANA,0,5,175,9,189,354200
354210 RAFARD,0,11,207,140,358,354210
354220 RANCHARIA,0,79,425,360,864,354220
354230 REDENCAO DA SERRA,0,40,13,5,58,354230
354240 REGENTE FEIJO,0,9,119,331,459,354240
354250 REGINOPOLIS,0,1,20,4,25,354250
354260 REGISTRO,0,22,344,235,601,354260
354270 RESTINGA,0,5,91,14,110,354270
354280 RIBEIRA,0,0,4,0,4,354280
354290 RIBEIRAO BONITO,0,229,451,56,736,354290
354300 RIBEIRAO BRANCO,0,0,7,3,10,354300
354310 RIBEIRAO CORRENTE,2,50,18,19,89,354310
354320 RIBEIRAO DO SUL,0,4,123,3,130,354320
354323 RIBEIRAO DOS INDIOS,0,1,50,7,58,354323
354325 RIBEIRAO GRANDE,0,4,13,1,18,354325
354330 RIBEIRAO PIRES,0,16,87,60,163,354330
354340 RIBEIRAO PRETO,1,436,5407,35662,41506,354340
354350 RIVERSUL,0,2,3,2,7,354350
354360 RIFAINA,0,48,135,25,208,354360
354370 RINCAO,0,3,157,6,166,354370
354380 RINOPOLIS,0,11,367,19,397,354380
354390 RIO CLARO,0,662,21660,106,22428,354390
354400 RIO DAS PEDRAS,0,15,436,104,555,354400
354410 RIO GRANDE DA SERRA,0,15,57,14,86,354410
354420 RIOLANDIA,0,38,190,21,249,354420
354425 ROSANA,0,757,580,40,1377,354425
354430 ROSEIRA,0,29,294,12,335,354430
354440 RUBIACEA,0,7,137,5,149,354440
354450 RUBINEIA,0,137,60,14,211,354450
354460 SABINO,0,1,125,2,128,354460
