Cod_ibge,Municipio,mort_infantil,IDESP_ensino_medio,n_familias_rua,forest_cover,n_pessoas_pobreza,esgoto_tratado,UAI_housing,UAI_env,UAI_food,UAI_mob,UAI_Crisk,population,population_preta,population_indigena,population_branca,pct_rural,pct_urbana,pol_deficit,mean_species_richness,max_species_richness,Vert_rich_risk,COD,flooding_exposure,flooding_risks,hydric_stress_exp,hydric_stress_risk,municipality,persist_malaria,persist_leptospirose,persist_diarrhea,persist_dengue,persist_chagas,incidence_malaria,incidence_leptospirose,incidence_diarrhea,incidence_dengue,incidence_chagas,copersistence,malaria_leptospirose,malaria_diarrhea,malaria_dengue,malaria_chagas,leptospirose_diarrhea,leptospirose_dengue,leptospirose_chagas,diarrhea_dengue,diarrhea_chagas,dengue_chagas,UAI_promedio,pct_preta,pct_indigena,pct_branca,flooding_exposure_norm,flooding_risks_norm,hydric_stress_exp_norm,hydric_stress_risk_norm,idx_climate_risk,mort_norm,pobreza_pct,pobreza_norm,idesp_norm,esgoto_norm,familias_rua_norm,idx_social_vuln,forest_norm,richness_norm,vert_risk_norm,idx_biodiv_risk,idx_food_security_risk,idx_governance,idx_governance_risk,idx_biodiv_positivo,cuadrante,IVM,IVM_100,categoria_IVM
3532504,Neves Paulista,0.0,1.8,0,8.8,64.4,73.8,0.0,0.13,0.25,0.2,0.0,9235.5,395.0,1.5,6895.0,10.2,89.8,0.968115193627,607.313432835821,642,5.4,353250,0.44,0.0,0.65,0.62,,,,,,,,,,,,,,,,,,,,,,,0.11600000000000002,4.276974717124141,0.016241676140977747,74.65757132802771,0.4252873563218391,0.0,0.6276595744680852,0.8051948051948051,0.46453543399618236,0.0,0.6973092956526448,0.12049839158309796,0.7254901960784313,0.262,0.0,0.2215977175323059,0.9221621621621622,0.29679311911315565,0.12368300503893725,0.44754609543808505,0.9701588058745899,0.11600000000000002,0.884,0.552453904561915,Q3_Vulnerable,0.5975676105682326,83.8047525536171,Muy Alta
3544905,Sales Oliveira,0.0,1.1,2,9.5,64.4,6.6,0.0,0.25,0.25,0.0,0.2,10989.5,438.0,2.5,8163.5,5.2,94.8,0.952662265341,609.642857142857,664,8.19,354490,0.38,0.0,0.61,0.65,,,,,,,,,,,,,,,,,,,,,,,0.13999999999999999,3.985622639792529,0.02274898767004868,74.28454433777696,0.35632183908045983,0.0,0.5851063829787235,0.8441558441558442,0.44639601655375694,0.0,0.5860139223804541,0.10125026147569054,0.8627450980392157,0.9339999999999999,0.03370542325586164,0.38634015655415355,0.9145945945945946,0.2921795576427131,0.18758589097572148,0.46478668107100973,0.9546732577167871,0.13999999999999999,0.86,0.5352133189289903,Q3_Vulnerable,0.6224392223791415,89.88108769803222,Muy Alta
3516804,Gastão Vidigal,0.0,1.8,0,11.9,64.9,100.0,0.0,0.63,0.5,0.0,0.2,3722.5,162.0,0.5,2158.5,9.5,90.5,0.982668312483,554.647058823529,635,12.65,351680,0.82,0.0,0.36,0.42,,,,,,,,,,,,,,,,,,,,,,,0.26599999999999996,4.35191403626595,0.01343183344526528,57.9852249832102,0.8620689655172415,0.0,0.3191489361702128,0.5454545454545454,0.4316681117854999,0.0,1.7434519811954332,0.3014249649905447,0.7254901960784313,0.0,0.0,0.20538303221379522,0.8886486486486487,0.40110196194488545,0.2897388914338067,0.5264965006757802,0.9847426451780434,0.26599999999999996,0.734,0.47350349932421976,Q3_Vulnerable,0.5764580579706238,78.64751878417276,Muy Alta
3551900,Severínia,6.5,1.5,2,8.0,65.9,59.9,0.0,0.25,0.5,0.4,0.2,15038.5,828.5,6.5,7800.5,4.7,95.3,0.942474647399,592.46511627907,651,8.99,355190,0.76,0.0,0.78,0.59,SEVERINIA,1.0,0.0,10.0,6.0,0.0,6.64959936163846,0.0,67.8259134887123,1102.72522747171,0.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.26999999999999996,5.5091930711174655,0.04322239585065,51.87019982046082,0.7931034482758621,0.0,0.7659574468085106,0.7662337662337662,0.5813236653295347,0.08125,0.4382085979319746,0.07568786807238118,0.7843137254901961,0.401,0.02463049831235107,0.2733764183749857,0.9308108108108109,0.3262010809689012,0.20590929912963812,0.4876403969697834,0.944464134543863,0.26999999999999996,0.73,0.5123596030302167,Q3_Vulnerable,0.6033609230436333,85.22010546538199,Muy Alta
3528106,Macaubal,0.0,2.5,1,13.1,62.7,0.0,0.0,0.13,0.0,0.2,0.2,7572.0,204.5,1.0,6030.0,10.5,89.5,0.951489545397,611.215189873418,642,4.8,352810,0.56,0.0,0.55,0.45,,,,,,,,,,,,,,,,,,,,,,,0.10600000000000001,2.7007395668251455,0.013206550449022716,79.63549920760697,0.5632183908045978,0.0,0.5212765957446809,0.5844155844155844,0.4172276427412157,0.0,0.8280507131537242,0.143109644328826,0.588235294117647,1.0,0.02445891104531772,0.35116076989835815,0.8756756756756756,0.28906546044602743,0.10994044892349977,0.4248938616817343,0.9534980622565921,0.10600000000000001,0.894,0.5751061383182656,Q2_Conservar,0.6081560673155801,86.39159784326607,Muy Alta
3532868,Nova Castilho,0.0,2.3,0,14.0,53.0,94.5,0.0,0.38,0.5,0.6,0.0,1093.5,26.0,0.0,721.0,27.0,73.0,0.957034793911,590.285714285714,638,7.48,353286,0.5,0.0,0.11,0.2,,,,,,,,,,,,,,,,,,,,,,,0.296,2.377686328303612,0.0,65.93507087334248,0.49425287356321845,0.0,0.053191489361702135,0.25974025974025977,0.2017961556662951,0.0,4.846822130772748,0.8381415476684185,0.6274509803921569,0.05500000000000005,0.0,0.30411850561211506,0.865945945945946,0.3305175144476722,0.1713238662391205,0.4559291088775796,0.9590550163381254,0.296,0.704,0.5440708911224204,Q3_Vulnerable,0.5249797572988231,66.07095519332276,Alta
3554409,Terra Roxa,0.0,2.4,4,7.4,53.8,100.0,0.33,0.25,0.0,0.4,0.2,8204.5,428.0,7.5,5266.0,3.5,96.5,0.971344069916,566.283582089552,665,14.84,355440,0.64,0.0,0.6,0.42,,,,,,,,,,,,,,,,,,,,,,,0.23600000000000004,5.216649399719666,0.09141324882686332,64.18428910963495,0.6551724137931036,0.0,0.574468085106383,0.5454545454545454,0.443773761088508,0.0,0.6557377049180327,0.11330873613107167,0.6078431372549019,0.0,0.09029331436901494,0.16228903755099772,0.9372972972972973,0.37805514508637017,0.3398992212551535,0.5517505545462736,0.9733944980581999,0.23600000000000004,0.764,0.44824944545372636,Q3_Vulnerable,0.5790415702487959,79.27869164788719,Muy Alta
3505906,Batatais,16.3,1.8,277,13.4,67.1,80.7,0.0,0.63,0.25,0.6,0.6,57439.0,3224.0,25.0,40111.0,2.9,97.1,0.917612654634,623.5,669,6.8,350590,0.5,0.0,0.78,0.63,BATATAIS,3.0,0.0,10.0,8.0,0.0,2.32130317960503,0.0,196.034053517645,1186.69370984871,0.0,9.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.41600000000000004,5.612911088284963,0.04352443461759432,69.83234387785303,0.49425287356321845,0.0,0.7659574468085106,0.8181818181818181,0.5195980346383868,0.20375000000000001,0.11681958251362314,0.02010480651298638,0.7254901960784313,0.19299999999999995,0.8931422242472079,0.4070974453677251,0.8724324324324324,0.26473467343547286,0.15574896930829135,0.4309720250587323,0.9195496601390246,0.41600000000000004,0.584,0.5690279749412677,Q1_Modelo,0.5722434330407737,77.6178519585373,Muy Alta
3530300,Mirassol,8.3,2.9,90,10.3,64.8,100.0,1.0,0.5,0.0,0.8,0.2,58564.5,2801.5,44.0,41969.5,2.6,97.4,0.950265940898,606.534246575342,646,6.11,353030,0.43,0.0,0.78,0.69,MIRASSOL,1.0,1.0,10.0,7.0,0.0,1.70751906018151,1.70751906018151,88.278735411384,294.669003528466,0.0,7.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,7.0,0.0,0.0,0.5,4.783614647098498,0.0751308386479864,71.66372119628785,0.4137931034482759,0.0,0.7659574468085106,0.8961038961038961,0.5189636115901707,0.10375000000000001,0.11064723509976179,0.01903732147208029,0.5098039215686274,0.0,0.28461369428857275,0.18344098746585608,0.9059459459459459,0.2983363432045272,0.13994502977553827,0.44807577297533707,0.9522718748282497,0.5,0.5,0.5519242270246629,Q4_Desarrollo,0.5205504493719226,64.98883958190683,Alta
3548054,Santo Antônio do Aracanguá,28.2,2.5,0,11.3,65.7,98.5,0.67,0.38,0.5,0.4,0.2,8002.5,490.5,7.5,3742.5,19.7,80.3,0.961363970486,561.440097799511,645,12.96,354805,0.21,0.0,0.26,0.54,,,,,,,,,,,,,,,,,,,,,,,0.43000000000000005,6.12933458294283,0.09372071227741331,46.76663542642924,0.16091954022988506,0.0,0.21276595744680854,0.7012987012987013,0.26874604974384875,0.3525,0.8209934395501406,0.14188911452123792,0.588235294117647,0.015000000000000013,0.0,0.219524881727777,0.8951351351351351,0.3876479498131571,0.29683921209344943,0.5265407656805805,0.9633933314519366,0.43000000000000005,0.57,0.4734592343194195,Q4_Desarrollo,0.5096410057208286,62.323574605630384,Alta
