Unnamed: 0,Cod_ibge,Municipio,mort_infantil,IDESP_ensino_medio,n_familias_rua,forest_cover,n_pessoas_pobreza,esgoto_tratado,UAI_housing,UAI_env,UAI_food,UAI_mob,UAI_Crisk,population,population_preta,population_indigena,population_branca,pct_rural,pct_urbana,pol_deficit,mean_species_richness,max_species_richness,Vert_rich_risk,COD,flooding_exposure,flooding_risks,hydric_stress_exp,hydric_stress_risk,municipality,persist_malaria,persist_leptospirose,persist_diarrhea,persist_dengue,persist_chagas,incidence_malaria,incidence_leptospirose,incidence_diarrhea,incidence_dengue,incidence_chagas,copersistence,malaria_leptospirose,malaria_diarrhea,malaria_dengue,malaria_chagas,leptospirose_diarrhea,leptospirose_dengue,leptospirose_chagas,diarrhea_dengue,diarrhea_chagas,dengue_chagas,idx_clima,idx_biodiv,idx_vulnerabilidad,idx_gobernanza,idx_gobernanza_100,incidence_malaria_norm,incidence_dengue_norm,incidence_diarrhea_norm,incidence_leptospirose_norm,incidence_chagas_norm,idx_carga_enfermedad,tercil_clima,tercil_biodiv,tercil_vuln,grupo_clima_biodiv
59,3552809,Taboão da Serra,13.3,2.1,128,10.5,65.6,63.5,1.0,0.75,0.0,0.8,1.0,259035.0,28286.0,294.0,124006.5,0.0,100.0,0.0,747.0,766,2.48,355280,0.94,1.0,1.0,0.59,TABOAO DA SERRA,1.0,9.0,10.0,7.0,0.0,0.386048217422356,1.62998136244995,24.1666184106395,236.537257789212,0.0,10.0,1.0,1.0,1.0,0.0,9.0,6.0,0.0,7.0,0.0,0.0,94.15584415584415,54.24321601748352,35.06222009019098,0.71,71.0,0.7128248711591351,5.171633188788613,1.8943351499225178,3.7174952056358244,0.0,2.299257683101218,Alto,Media,Media,Alto Clima / Media Biodiv
61,3556453,Vargem Grande Paulista,8.2,2.3,56,25.6,66.5,10.2,0.33,0.38,0.25,0.6,0.6,46706.0,2718.5,33.0,27155.0,1.1,98.9,0.797220524748,705.642857142857,736,4.12,355645,0.47,0.0,1.0,0.64,VARGEM GRANDE PAULISTA,1.0,6.0,10.0,4.0,0.0,2.14105254142937,2.49789463166759,13.488631011005,122.575257996831,0.0,9.0,0.0,1.0,1.0,0.0,6.0,1.0,0.0,4.0,0.0,0.0,57.273473652784,57.697703657691775,44.00013639663369,0.43200000000000005,43.2,3.9533805185780597,2.549658679162533,0.9424157465642445,5.696943248142729,0.0,2.6284796384895133,Alto,Alta,Alta,Alto Clima / Alta Biodiv
63,3513009,Cotia,15.1,1.7,161,59.5,69.9,21.3,0.67,0.5,0.0,0.4,0.6,237781.5,18214.0,269.5,127153.0,2.8,97.2,0.717320328963,703.326923076923,782,10.06,351300,0.54,0.0,0.79,0.56,COTIA,1.0,9.0,10.0,6.0,0.0,0.420554164222196,1.26166249266659,18.6726048914655,196.188517609654,0.0,10.0,1.0,1.0,1.0,0.0,9.0,5.0,0.0,6.0,0.0,0.0,51.10245892527625,74.41836149485769,47.255061331645685,0.434,43.4,0.7765389254450273,4.243311744455731,1.4045557677710259,2.8774711022271635,0.0,1.8603755079797897,Medio,Alta,Alta,Medio Clima / Alta Biodiv
68,3525003,Jandira,14.8,1.7,111,17.6,59.9,28.1,1.0,0.5,0.0,0.8,0.4,113194.5,9977.5,95.5,55130.5,0.0,100.0,0.0,757.0,777,2.57,352500,0.94,0.55,1.0,0.62,JANDIRA,0.0,5.0,10.0,7.0,0.0,0.0,1.76687029846857,28.7999858650376,206.976234963461,0.0,10.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,7.0,0.0,0.0,83.87987012987013,58.78349534454888,41.79573181975318,0.5399999999999999,53.99999999999999,0.0,4.491509564520871,2.3073898031693694,4.029697525905872,0.0,2.1657193787192224,Alto,Alta,Alta,Alto Clima / Alta Biodiv
70,3510609,Carapicuíba,16.6,1.9,488,12.0,70.2,33.4,1.0,0.63,0.0,0.4,0.6,378284.0,36410.0,398.0,184276.5,0.0,100.0,0.0,543.75,780,30.29,351060,0.94,0.68,1.0,0.45,CARAPICUIBA,2.0,10.0,10.0,7.0,0.0,0.264351651140413,1.6654154021846,50.8348225143014,130.174305925858,0.0,10.0,2.0,2.0,2.0,0.0,10.0,7.0,0.0,7.0,0.0,0.0,81.6103896103896,34.86578869488014,44.65267824519503,0.526,52.6,0.48811631076309486,2.7244933609304436,4.271747670550089,3.7983095485875,0.0,2.2565333781662256,Alto,Baja,Alta,Alto Clima / Baja Biodiv
74,3522505,Itapevi,13.4,1.8,100,38.2,78.3,31.4,0.67,0.63,0.0,0.8,0.4,216533.0,20584.5,109.5,90953.5,1.6,98.4,0.753133859647,705.148148148148,760,7.22,352250,0.94,0.0,1.0,0.64,ITAPEVI,1.0,9.0,10.0,6.0,0.0,0.461823371033515,2.30911685516757,31.3578068931756,198.584049544411,0.0,10.0,1.0,1.0,1.0,0.0,9.0,5.0,0.0,6.0,0.0,0.0,70.77922077922078,63.948713648654426,47.76473549044382,0.5,50.0,0.8527411087488131,4.298426815105342,2.5354139968564415,5.2663981540475415,0.0,2.590596014951628,Alto,Alta,Alta,Alto Clima / Alta Biodiv
77,3552502,Suzano,11.6,1.8,597,30.6,69.5,55.5,0.33,0.75,0.75,1.0,0.4,284954.5,23961.5,325.0,140678.0,1.3,98.7,0.850245410633,708.169230769231,766,7.55,355250,0.81,0.0,0.8,0.53,SUZANO,5.0,9.0,10.0,6.0,0.0,0.350933219163059,1.05279965748918,7.89599743116884,60.5359803056277,0.0,10.0,5.0,5.0,2.0,0.0,9.0,5.0,0.0,6.0,0.0,0.0,58.15301108771395,60.44788521515592,39.12983737172151,0.646,64.60000000000001,0.6479862241189607,1.1222933731982891,0.44384460002952314,2.4011180553184026,0.0,0.9230484505330352,Alto,Alta,Alta,Alto Clima / Alta Biodiv
80,3505708,Barueri,6.5,1.8,576,18.5,72.0,40.4,1.0,0.63,0.0,0.8,0.2,278611.0,20484.0,219.5,146517.0,0.0,100.0,0.745614032413,737.190476190476,782,5.73,350570,0.94,0.0,1.0,0.47,BARUERI,0.0,10.0,10.0,8.0,0.0,0.0,2.18943257803891,74.4407076533231,616.271432211937,0.0,10.0,0.0,0.0,0.0,0.0,10.0,8.0,0.0,8.0,0.0,0.0,65.25974025974025,57.27179915379082,41.869989718209624,0.526,52.6,0.0,13.90834654573388,6.376161101310518,4.993434464605697,0.0,5.055588422330018,Alto,Alta,Alta,Alto Clima / Alta Biodiv
82,3534401,Osasco,13.4,1.6,1322,8.9,68.7,37.5,1.0,0.5,0.5,1.0,0.4,697677.5,55173.0,538.0,384623.0,0.0,100.0,0.0,572.809523809524,786,27.12,353440,0.94,0.0,1.0,0.52,OSASCO,5.0,10.0,10.0,9.0,0.0,0.171999240336689,1.27566103249711,21.1272400213566,129.795723031853,0.0,10.0,5.0,5.0,4.0,0.0,10.0,9.0,0.0,9.0,0.0,0.0,66.88311688311688,36.19349326317364,43.88005527215812,0.6799999999999999,68.0,0.3175907329688123,2.7157831355950686,1.6233811625629484,2.9093975437833066,0.0,1.5132305149820273,Alto,Baja,Alta,Alto Clima / Baja Biodiv
86,3523107,Itaquaquecetuba,14.4,1.6,170,12.8,75.8,10.8,1.0,0.5,0.0,0.4,0.6,345522.5,31752.0,348.0,142720.0,0.0,100.0,0.0,729.5,773,5.63,352310,0.94,1.0,1.0,0.63,ITAQUAQUECETUBA,0.0,9.0,10.0,7.0,0.0,0.0,2.1223895211841,16.2941631876361,43.2057866812478,0.0,9.0,0.0,0.0,0.0,0.0,9.0,7.0,0.0,7.0,0.0,0.0,95.45454545454545,53.66022719511915,51.939884079677725,0.5,50.0,0.0,0.7235698863097556,1.1925228515578812,4.840529500064068,0.0,1.3513244475863408,Alto,Media,Alta,Alto Clima / Media Biodiv
