Cod_ibge,Municipio,mort_infantil,IDESP_ensino_medio,n_familias_rua,forest_cover,n_pessoas_pobreza,esgoto_tratado,UAI_housing,UAI_env,UAI_food,UAI_mob,UAI_Crisk,population,population_preta,population_indigena,population_branca,pct_rural,pct_urbana,pol_deficit,mean_species_richness,max_species_richness,Vert_rich_risk,COD,flooding_exposure,flooding_risks,hydric_stress_exp,hydric_stress_risk,municipality,persist_malaria,persist_leptospirose,persist_diarrhea,persist_dengue,persist_chagas,incidence_malaria,incidence_leptospirose,incidence_diarrhea,incidence_dengue,incidence_chagas,copersistence,malaria_leptospirose,malaria_diarrhea,malaria_dengue,malaria_chagas,leptospirose_diarrhea,leptospirose_dengue,leptospirose_chagas,diarrhea_dengue,diarrhea_chagas,dengue_chagas,UAI_promedio,pct_preta,pct_indigena,pct_branca,riesgo_climatico,cuadrante,idx_clima,mort_norm,pobreza_pct,pobreza_norm,idx_social,idx_capacidad_inv,idx_politicas,idx_riesgo_eco,IVM,IVM_100,categoria_IVM
3520301,Iguape,6.6,2.1,34,86.8,75.4,83.6,0.33,0.25,0.25,0.6,0.4,28978.0,1215.0,220.5,15655.0,22.8,77.2,0.554919919824,641.471786833856,717,10.53,352030,0.59,0.61,0.29,0.36,,,,,,,,,,,,,,,,,,,,,,,0.366,4.1928359445096275,0.7609220788184139,54.023742149216645,0.485,Q1_Modelo,0.4799786170053962,0.08249999999999999,0.2601973911243012,0.04490147715179063,0.06370073857589531,0.6456521739130434,0.5560913105345778,0.24118185982592763,0.39732093997096807,43.58742733722626,Moderada
3505351,Barra do Chapéu,11.0,1.9,0,46.4,79.0,76.9,0.0,0.13,0.0,0.0,0.2,5211.5,211.0,2.5,2152.5,63.2,36.8,0.732243741789,645.674418604651,688,6.15,350535,0.33,0.32,0.26,0.33,,,,,,,,,,,,,,,,,,,,,,,0.066,4.048738367072819,0.04797083373309028,41.302887844190735,0.325,Q2_Conservar,0.3150469901827202,0.1375,1.5158783459656529,0.2620669322967184,0.1997834661483592,0.9717391304347827,0.7337894486313178,0.14086120018323411,0.47224404711608275,59.897537818817725,Alta
3521200,Iporanga,40.0,2.5,1,90.9,74.3,100.0,0.0,0.38,0.25,0.4,0.2,4172.5,552.0,9.0,992.0,53.2,46.8,0.535368649205,660.485333333333,767,13.89,352120,0.38,0.3,0.06,0.17,IPORANGA,1.0,0.0,2.0,1.0,0.0,23.9664469742361,0.0,23.9664469742361,143.798681845416,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.246,13.229478729778311,0.21569802276812464,23.774715398442183,0.235,Q2_Conservar,0.21927526496492017,0.5,1.7807070101857398,0.30786808678507704,0.4039340433925385,0.7760869565217391,0.5364987687772299,0.3181401740723775,0.450787041545761,55.22653384165699,Alta
3507159,Bom Sucesso de Itararé,0.0,1.6,0,49.3,77.6,100.0,0.0,0.25,0.5,0.2,0.0,3563.0,146.0,1.0,2310.5,30.3,69.7,0.691559250581,626.777777777778,668,6.17,350715,0.79,0.0,0.5,0.47,,,,,,,,,,,,,,,,,,,,,,,0.19,4.09767050238563,0.028066236317709797,64.84703901206849,0.235,Q2_Conservar,0.4765152309172852,0.0,2.17793993825428,0.3765680772483838,0.1882840386241919,0.8369565217391304,0.6930190757792045,0.141319285387082,0.46721883048937884,58.803591751995874,Alta
3502705,Apiaí,0.0,2.0,13,66.0,72.5,71.5,0.0,0.63,0.25,0.4,0.8,24888.0,1006.0,20.0,11680.0,21.5,78.5,0.752799459509,636.427215189873,726,12.34,350270,0.7,0.72,0.48,0.47,APIAI,1.0,1.0,10.0,3.0,0.0,4.0180006428801,8.03600128576021,43.7962070073931,58.9306760955748,0.0,4.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,0.0,0.0,0.41600000000000004,4.0421086467373835,0.08036001285760207,46.9302475088396,0.595,Q1_Modelo,0.6253340130155978,0.0,0.29130504660880746,0.0502814330520041,0.02514071652600205,0.5913043478260869,0.7543885577956078,0.282638570774164,0.45576124118749173,56.309373953412965,Alta
3523305,Itariri,6.7,1.6,7,76.2,78.4,72.7,0.67,0.25,0.75,0.6,0.2,15499.5,1071.0,87.0,7216.0,23.0,77.0,0.597142196766,657.46511627907,735,10.55,352330,0.52,0.53,0.72,0.59,,,,,,,,,,,,,,,,,,,,,,,0.49400000000000005,6.909900319365141,0.561308429304171,46.556340527113775,0.56,Q1_Modelo,0.6289007012796448,0.08375,0.5058227684764025,0.08738149300466554,0.08556574650233277,0.5065217391304346,0.5984027152610066,0.24163994502977557,0.41220616944063887,46.827812666200195,Moderada
3514809,Eldorado,20.1,2.1,4,82.6,75.1,94.5,0.33,0.5,0.75,0.4,0.4,13855.0,1691.0,79.0,5539.5,47.4,52.6,0.681582722858,675.707224334601,752,10.15,351480,0.67,0.69,0.15,0.3,ELDORADO,1.0,3.0,2.0,6.0,0.0,7.21761097076867,7.21761097076867,7.21761097076867,50.5232767953807,0.0,4.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.476,12.20498015156983,0.5701912666907253,39.98195597257308,0.495,Q1_Modelo,0.4662525607188116,0.25125000000000003,0.5420425839047275,0.09364557837796902,0.1724477891889845,0.5260869565217391,0.6830214884195236,0.23247824095281724,0.4160574071603752,47.66619370902202,Moderada
3537602,Peruíbe,12.1,1.9,150,80.6,76.2,88.9,1.0,0.88,0.5,0.6,0.4,64062.5,4334.5,486.0,35186.5,2.4,97.6,0.335748730175,648.094339622642,720,9.99,353760,0.31,0.0,0.78,0.61,,,,,,,,,,,,,,,,,,,,,,,0.6759999999999999,6.766048780487805,0.7586341463414634,54.92526829268293,0.305,Q1_Modelo,0.45850682699545503,0.15125,0.11894634146341465,0.020472621739883227,0.08586131086994161,0.30869565217391315,0.33645746837228807,0.22881355932203393,0.2836669635467264,18.84594259659448,Baja
3543006,Ribeirão Branco,7.2,2.8,0,43.9,81.1,77.8,0.0,0.0,0.75,0.4,0.2,18448.0,395.5,21.5,11676.0,46.5,53.5,0.766855025181,657.349775784753,704,6.63,354300,0.4,0.0,0.5,0.52,,,,,,,,,,,,,,,,,,,,,,,0.26999999999999996,2.143863833477884,0.11654379878577624,63.29141370338248,0.26,Q2_Conservar,0.3806800316338101,0.09,0.43961405030355594,0.07593093594944199,0.08296546797472099,0.75,0.7684737936208532,0.15185524507558407,0.4267949076609937,50.00365442220402,Alta
3532827,Nova Campina,23.4,1.6,0,39.9,75.6,86.2,0.33,0.25,0.75,0.2,0.2,8506.0,210.0,4.0,5730.5,29.0,71.0,0.782947728824,647.612903225806,691,6.28,353282,0.43,0.0,0.43,0.56,NOVA CAMPINA,0.0,0.0,5.0,1.0,0.0,0.0,0.0,11.7564072419469,11.7564072419469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.346,2.468845520808841,0.04702562896778745,67.37009169997648,0.28,Q2_Conservar,0.38367071299939975,0.2925,0.8887843874911826,0.15361331246145637,0.22305665623072818,0.6673913043478261,0.7846004676492765,0.14383875400824556,0.4405115790470952,52.98965479340709,Alta
