cod_ibge,incidence_diarrhea_mean,incidence_diarrhea_max,total_cases_diarrhea,persist_diarrhea
350910,129.11638099415433,203.02694721299372,70.0,10
350920,2.6661457058699662,5.570642712903001,19.0,8
350925,15.397663352938569,42.488404206352016,44.0,9
350930,504.693101551403,659.3629539460337,514.0,10
350940,294.20680830414483,698.5128532793035,715.0,10
350945,46.026938340566645,102.8101439342015,27.0,9
350950,9.936937707302807,13.061818697621066,1138.0,10
350960,9.284135240560712,18.901358535144713,75.0,10
350970,16.929434872481796,46.23753609417661,84.0,9
350980,14.826994702036734,44.23477162693278,7.0,6
350990,12.224062924278222,57.857025371958684,15.0,4
350995,10.124331870478084,38.92565200467108,5.0,4
351000,50.795880055800055,144.86688343044779,157.0,10
351010,14.55625008031122,71.63323782234957,4.0,3
351015,2.2760275126205727,22.760275126205727,1.0,1
351020,62.17155617469889,110.64106736088513,292.0,10
351030,3.6613450444007656,11.093238671030006,7.0,5
351040,26.18648519828647,55.520392640216755,135.0,10
351050,30.885476051108373,56.57267149810286,339.0,10
351060,49.91055218477403,68.70508853471017,1923.0,10
351070,532.727080985837,1127.936158813411,641.0,10
351080,53.50374860868651,80.70210834258044,157.0,10
351090,46.340463016856525,118.90606420927466,12.0,7
351100,220.61867075859408,636.9208036057472,417.0,10
351110,23.73369308054785,63.26720395671312,276.0,10
351120,17.47481228135458,28.17183126763381,13.0,8
351130,12.53083196441457,22.812820805292574,11.0,8
351140,22.241322265060873,88.96331571510807,42.0,10
351150,59.021107021468616,183.2000594162355,247.0,10
351160,185.88112994232006,466.2692557398335,309.0,10
351170,111.42292967275807,245.1862321966632,177.0,10
351190,41.20618324125609,125.12164604476575,31.0,10
351200,91.54958317367922,126.24813497073337,164.0,10
351210,78.01906330661988,370.4938683264792,47.0,7
351220,209.32926220712974,504.55389688428033,548.0,10
351230,224.2487117301966,529.8486542768336,375.0,9
351240,7.579055111716049,28.538812785388128,18.0,8
351250,17.23118054682911,34.364261168384886,10.0,7
351260,65.94945867557017,169.2047377326565,32.0,10
351270,0.0,0.0,0.0,0
351280,28.88577177459008,65.724480953551,185.0,10
351290,15.02628976706539,68.42753524018065,11.0,5
