cod_ibge,year,diarrhea,population,incidence_diarrhea
350150,2018,1.0,3206.0,31.191515907673114
350150,2019,1.0,3222.0,31.036623215394165
350160,2010,40.0,210663.09,18.987664141829498
350160,2011,31.0,212791.0,14.56828531281868
350160,2012,31.0,214873.0,14.427126721365644
350160,2013,37.0,224551.0,16.477325863612275
350160,2014,18.0,226970.0,7.930563510596113
350160,2015,16.0,229322.0,6.97708898404863
350160,2016,10.0,231621.0,4.317397817987143
350160,2017,13.0,233868.0,5.558691227530059
350160,2018,19.0,237112.0,8.01309086001552
350160,2019,12.0,239597.0,5.008409955049521
350170,2010,9.0,34604.46,26.008208190504924
350170,2011,8.0,34954.0,22.887223207644332
350170,2012,4.0,35413.0,11.295287041481942
350170,2013,6.0,37165.0,16.144221713978204
350170,2014,4.0,37691.0,10.612613090658247
350170,2015,6.0,38202.0,15.705983979896342
350170,2016,17.0,38701.0,43.92651352678225
350170,2017,7.0,39189.0,17.862155196611294
350170,2018,14.0,39962.0,35.03328161753666
350170,2019,6.0,40504.0,14.813351767726646
350180,2010,1.0,5657.85,17.674558356973055
350180,2011,1.0,5715.0,17.497812773403325
350180,2012,1.0,5723.0,17.473353136466887
350180,2013,0.0,5916.0,0.0
350180,2014,0.0,5930.0,0.0
350180,2015,1.0,5942.0,16.82935038707506
350180,2016,1.0,5955.0,16.79261125104954
350180,2017,1.0,5967.0,16.758840288252053
350180,2018,0.0,5956.0,0.0
350180,2019,1.0,5969.0,16.753224995811696
350190,2010,14.0,65583.54,21.346819644075328
350190,2011,12.0,66246.0,18.114301240829636
350190,2012,31.0,66649.0,46.512325766328075
350190,2013,21.0,69322.0,30.293413346412397
350190,2014,13.0,69808.0,18.62250744900298
350190,2015,25.0,70280.0,35.571997723392144
350190,2016,23.0,70742.0,32.51251024850867
350190,2017,25.0,71193.0,35.115811947803856
350190,2018,19.0,71700.0,26.499302649930264
350190,2019,16.0,72195.0,22.16219959831013
350200,2010,0.0,4304.52,0.0
350200,2011,0.0,4348.0,0.0
350200,2012,0.0,4401.0,0.0
350200,2013,0.0,4612.0,0.0
350200,2014,0.0,4672.0,0.0
350200,2015,0.0,4731.0,0.0
350200,2016,0.0,4789.0,0.0
350200,2017,0.0,4845.0,0.0
350200,2018,1.0,4933.0,20.27163997567403
350200,2019,1.0,4995.0,20.02002002002002
350210,2010,204.0,54794.52,372.30000372300003
350210,2011,135.0,55348.0,243.91125243911253
350210,2012,124.0,55361.0,223.98439334549593
350210,2013,155.0,57145.0,271.239828506431
350210,2014,139.0,57198.0,243.01549005209972
350210,2015,145.0,57250.0,253.27510917030568
350210,2016,131.0,57300.0,228.62129144851656
350210,2017,58.0,57350.0,101.1333914559721
350210,2018,66.0,57112.0,115.56240369799693
350210,2019,50.0,57157.0,87.47834910859562
350220,2010,2.0,22209.66,9.005090577703575
350220,2011,35.0,22434.0,156.01319425871446
350220,2012,54.0,22650.0,238.41059602649005
350220,2013,42.0,23666.0,177.46978788134876
350220,2014,22.0,23917.0,91.98478069992056
350220,2015,28.0,24161.0,115.88924299490914
350220,2016,22.0,24400.0,90.1639344262295
350220,2017,16.0,24634.0,64.95088089632215
350220,2018,17.0,24969.0,68.0844246866114
350220,2019,13.0,25228.0,51.53004598065641
350230,2010,0.0,5681.61,0.0
350230,2011,1.0,5739.0,17.424638438752396
350230,2012,1.0,5822.0,17.176228100309174
350230,2013,0.0,6120.0,0.0
350230,2014,0.0,6215.0,0.0
350230,2015,1.0,6307.0,15.855398763278897
350230,2016,2.0,6397.0,31.26465530717524
350230,2017,0.0,6484.0,0.0
350230,2018,2.0,6627.0,30.17956843217142
350230,2019,0.0,6724.0,0.0
350240,2010,8.0,3726.36,214.6867184061658
350240,2011,7.0,3764.0,185.97236981934114
350240,2012,9.0,3788.0,237.5923970432946
350240,2013,8.0,3941.0,202.99416391778738
350240,2014,7.0,3970.0,176.32241813602013
350240,2015,1.0,3999.0,25.006251562890725
350240,2016,4.0,4026.0,99.35419771485346
350240,2017,5.0,4053.0,123.3654083395016
350240,2018,8.0,4085.0,195.83843329253367
350240,2019,6.0,4115.0,145.80801944106926
350250,2010,3.0,34664.85,8.654299672434757
350250,2011,1.0,35015.0,2.8559188919034697
350250,2012,5.0,35023.0,14.276332695657139
350250,2013,8.0,36151.0,22.129401676302177
350250,2014,7.0,36184.0,19.34556710148132
350250,2015,2.0,36217.0,5.522268547919485
350250,2016,1.0,36248.0,2.758772897815052
350250,2017,3.0,36279.0,8.269246671628215
350250,2018,4.0,36129.0,11.071438456641479
350250,2019,0.0,36157.0,0.0
350260,2010,115.0,4368.87,2632.2596003085464
350260,2011,89.0,4413.0,2016.7686381146611
350260,2012,98.0,4377.0,2238.9764679003883
350260,2013,50.0,4468.0,1119.0689346463741
350260,2014,42.0,4432.0,947.653429602888
350260,2015,29.0,4397.0,659.5405958608142
350260,2016,19.0,4362.0,435.5800091701055
350260,2017,23.0,4329.0,531.3005313005312
350260,2018,10.0,4234.0,236.18327822390174
350260,2019,5.0,4196.0,119.16110581506197
350270,2010,25.0,24789.6,100.848743021267
350270,2011,7.0,25040.0,27.95527156549521
350270,2012,9.0,24894.0,36.153289949385396
350270,2013,7.0,25491.0,27.460672394178335
350270,2014,12.0,25349.0,47.33914552842321
350270,2015,11.0,25211.0,43.631748046487644
350270,2016,5.0,25077.0,19.93858914543207
350270,2017,7.0,24945.0,28.061735818801363
350270,2018,17.0,24526.0,69.31419717850444
350270,2019,9.0,24374.0,36.92459177812423
350275,2010,1.0,17359.65,5.76048480240097
350275,2011,2.0,17535.0,11.40575990875392
350275,2012,3.0,17975.0,16.689847009735743
350275,2013,1.0,19144.0,5.223568742164647
350275,2014,2.0,19636.0,10.185373803218578
350275,2015,0.0,20114.0,0.0
350275,2016,1.0,20581.0,4.858850395996307
350275,2017,1.0,21038.0,4.753303545964445
350275,2018,0.0,21854.0,0.0
350275,2019,0.0,22364.0,0.0
350280,2010,66.0,180700.74,36.52447687817992
350280,2011,60.0,182526.0,32.87202919036192
350280,2012,74.0,183441.0,40.339945813640355
350280,2013,57.0,190536.0,29.91560649955914
350280,2014,43.0,191662.0,22.435328860180945
350280,2015,41.0,192757.0,21.2703040615905
350280,2016,36.0,193828.0,18.573167963348947
350280,2017,42.0,194874.0,21.552387696665537
350280,2018,31.0,195874.0,15.826500709639872
350280,2019,26.0,197016.0,13.196897713891259
350290,2010,0.0,27595.26,0.0
350290,2011,0.0,27874.0,0.0
350290,2012,0.0,28429.0,0.0
350290,2013,0.0,30088.0,0.0
350290,2014,1.0,30713.0,3.255950249080194
350290,2015,1.0,31321.0,3.192746080904186
350290,2016,3.0,31915.0,9.39996866677111
350290,2017,1.0,32495.0,3.0773965225419295
350290,2018,0.0,33499.0,0.0
350290,2019,0.0,34146.0,0.0
350300,2010,3.0,5130.18,58.47748032232787
350300,2011,5.0,5182.0,96.487842531841
350300,2012,5.0,5211.0,95.95087315294569
350300,2013,3.0,5416.0,55.391432791728214
350300,2014,3.0,5451.0,55.0357732526142
350300,2015,1.0,5486.0,18.22821728034998
350300,2016,2.0,5519.0,36.23844899438304
350300,2017,2.0,5552.0,36.023054755043226
350300,2018,3.0,5585.0,53.71530886302597
350300,2019,2.0,5620.0,35.587188612099645
350310,2010,2.0,6066.72,32.96674314951077
350310,2011,1.0,6128.0,16.318537859007833
350310,2012,3.0,6132.0,48.92367906066536
350310,2013,0.0,6334.0,0.0
350310,2014,1.0,6343.0,15.765410688948448
350310,2015,2.0,6351.0,31.4911037631869
350310,2016,1.0,6360.0,15.723270440251572
350310,2017,1.0,6368.0,15.703517587939698
350310,2018,1.0,6348.0,15.75299306868305
350310,2019,0.0,6357.0,0.0
350315,2010,0.0,2459.16,0.0
350315,2011,0.0,2484.0,0.0
350315,2012,0.0,2475.0,0.0
350315,2013,0.0,2541.0,0.0
350315,2014,1.0,2532.0,39.494470774091624
350315,2015,0.0,2524.0,0.0
350315,2016,0.0,2516.0,0.0
350315,2017,0.0,2509.0,0.0
350315,2018,0.0,2478.0,0.0
350315,2019,0.0,2469.0,0.0
350320,2010,40.0,208566.27,19.178556532655065
350320,2011,37.0,210673.0,17.562763144778877
350320,2012,28.0,212617.0,13.16921977076151
350320,2013,32.0,222036.0,14.412077320794827
350320,2014,38.0,224304.0,16.941293958199587
350320,2015,23.0,226508.0,10.154166740247584
350320,2016,21.0,228664.0,9.183780568869608
350320,2017,24.0,230770.0,10.39996533344889
350320,2018,30.0,233744.0,12.834554042028888
350320,2019,42.0,236072.0,17.79118235114711
350330,2010,0.0,118768.32,0.0
350330,2011,4.0,119968.0,3.334222459322486
350330,2012,2.0,121055.0,1.6521415885341373
350330,2013,5.0,126391.0,3.955977878171705
350330,2014,5.0,127661.0,3.916622931043937
350330,2015,3.0,128895.0,2.327475852438031
350330,2016,3.0,130102.0,2.305883076355475
350330,2017,1.0,131282.0,0.761719047546503
350330,2018,3.0,132934.0,2.256758993184588
350330,2019,7.0,134236.0,5.214696504663428
350335,2010,8.0,1887.93,423.7445244262234
350335,2011,6.0,1907.0,314.6303093864709
350335,2012,2.0,1890.0,105.82010582010582
350335,2013,0.0,1925.0,0.0
350335,2014,1.0,1907.0,52.43838489774515
350335,2015,2.0,1890.0,105.82010582010582
350335,2016,3.0,1873.0,160.17084890549918
350335,2017,6.0,1856.0,323.2758620689655
350335,2018,1.0,1811.0,55.21811154058532
350335,2019,1.0,1791.0,55.83472920156337
350340,2010,3.0,7808.13,38.421491445454926
350340,2011,2.0,7887.0,25.358184354000255
