cod_ibge,deng_2010,deng_2011,deng_2012,deng_2013,deng_2014,deng_2015,deng_2016,deng_2017,deng_2018,deng_2019
352430,5027,57,42,922,68,341,1133,34,38,1308
352440,454,133,36,140,240,3963,242,43,29,409
352450,75,11,0,103,33,272,155,6,130,200
352460,57,53,75,2110,4,149,4,0,1,4
352470,341,42,53,276,141,1553,96,29,213,329
352480,336,191,9,2041,485,3375,1797,26,48,2564
352490,6,2,1,1,3,33,9,10,4,4
352500,54,61,62,106,559,2899,162,20,24,100
352510,1023,406,14,1542,1260,411,2893,17,10,265
352520,9,1,2,11,14,95,14,3,5,28
352530,344,94,9,604,4450,256,67,3,13,1901
352550,3,2,1,4,3,16,6,0,3,3
352560,2,0,0,7,5,44,5,2,3,17
352570,186,8,2,201,213,600,457,15,32,1021
352580,5,0,0,1,1,301,13,0,0,42
352585,3,0,2,10,1,21,4,1,2,1
352590,185,112,53,225,519,4625,469,11,6,2932
352600,39,15,2,148,136,579,16,2,0,90
352610,27,11,21,647,16,132,178,3,0,9
352620,2,4,9,2,8,74,33,10,17,3
352630,3,4,0,0,12,2,2,1,1,2
352640,2,96,2,142,46,163,16,0,0,31
352650,18,3,2,31,18,169,49,1,1,102
352660,1,26,37,301,20,13,23,0,1,175
352670,1141,690,76,4709,30,224,48,9,208,2855
352680,69,17,6,35,27,473,40,2,5,296
352690,520,2377,43,1248,711,19855,113,25,14,1226
352710,611,480,16,245,219,1757,69,18,23,2805
352720,16,2717,66,246,122,2380,79,26,12,584
352725,35,1,8,5,39,66,17,4,3,129
352730,1,60,15,38,83,371,48,2,3,129
352740,383,0,2,177,27,442,39,1,2,485
352760,94,42,7,128,28,436,140,6,29,91
352770,113,8,2,9,16,57,17,2,1,47
352780,7,2,0,1,3,51,0,0,0,9
352790,1,5,2,17,0,88,22,0,2,12
352800,2,8,0,31,21,114,3,0,0,65
352810,228,2,0,47,16,47,39,2,54,433
352820,52,1,0,120,9,34,36,1,4,87
352830,48,3,1,8,11,38,9,1,2,78
352840,8,10,3,28,41,496,16,0,2,14
352850,32,10,3,43,4825,194,24,0,1,23
352870,6,1,0,20,5,22,10,0,2,184
352880,12,2,0,17,36,607,2,4,4,75
352885,5,1,0,1,0,117,2,1,2,49
352890,16,1,0,17,38,160,2,0,0,101
352900,943,77,27,507,1772,18698,470,66,54,2992
352910,8,18,3,21,6,43,22,1,2,70
352920,19,4,7,61,25,131,345,3,1,166
352930,1246,447,347,1096,218,778,2204,9,31,1424
352940,66,31,15,51,96,815,411,15,11,503
352950,92,18,12,182,20,387,109,1,15,457
352960,17,3,0,108,22,108,18,6,9,126
352965,6,1,1,16,6,70,6,0,0,12
352970,288,152,133,144,11,41,204,2,7,137
352980,4,2,1,7,156,29,6,0,0,225
352990,62,10,3,348,15,571,25,3,5,58
353000,24,4,3,123,18,57,9,1,3,77
353010,320,27,13,280,135,801,745,43,30,2412
353020,10,40,15,114,56,159,843,10,4,122
353030,1252,34,47,1669,34,458,143,232,290,772
353040,90,2,0,140,0,139,44,5,7,312
353050,78,86,2,589,459,3392,268,20,31,494
353060,45,14,4,33,118,885,262,10,7,164
353070,817,349,23,335,1180,9190,150,44,39,3030
353080,412,1399,27,166,1119,2080,185,90,49,1801
353090,1,0,0,80,1,28,3,0,0,19
353100,91,0,1,30,9,61,65,0,4,104
353110,141,120,18,170,290,891,40,12,12,452
353120,8,0,0,5,10,128,17,6,9,11
353130,533,163,5,139,25,328,76,14,53,693
353140,246,88,11,272,118,604,202,8,14,1138
353150,258,17,6,426,29,423,596,10,3,635
353160,20,1,4,15,7,41,11,3,1,79
353180,63,24,6,98,355,1070,49,6,1,334
353190,195,121,102,1586,21,78,120,5,5,2312
353205,33,5,2,7,43,21,18,1,58,147
353210,6,11,3,62,5,105,73,1,18,165
353220,2,0,16,11,18,19,30,0,0,71
353230,7,13,6,0,28,7,6,8,4,19
353240,4,1,0,1,26,78,41,3,6,3
353250,160,11,2,246,12,798,80,9,88,689
353260,119,8,4,17,84,77,26,1,4,436
353270,33,3,0,43,6,167,17,1,0,39
