"cod_ibge","deng_2010","deng_2011","deng_2012","deng_2013","deng_2014","deng_2015","deng_2016","deng_2017","deng_2018","deng_2019","leiv_2010","leiv_2011","leiv_2012","leiv_2013","leiv_2014","leiv_2015","leiv_2016","leiv_2017","leiv_2018","leiv_2019","lept_2010","lept_2011","lept_2012","lept_2013","lept_2014","lept_2015","lept_2016","lept_2017","lept_2018","lept_2019","ltan_2010","ltan_2011","ltan_2012","ltan_2013","ltan_2014","ltan_2015","ltan_2016","ltan_2017","ltan_2018","ltan_2019","mala_2010","mala_2011","mala_2012","mala_2013","mala_2014","mala_2015","mala_2016","mala_2017","mala_2018","mala_2019"
"350420",96,7,7,49,60,230,125,8,2,613,1,0,0,1,1,0,0,0,2,1,2,0,0,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"350440",173,5,6,157,17,143,29,5,10,167,0,1,0,0,1,2,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"350450",9,9,0,10,3,267,13,2,2,19,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,1,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"350460",493,24,2,246,41,914,271,31,98,1598,1,0,0,0,1,0,1,2,0,1,2,0,3,5,0,0,2,1,1,3,0,1,0,0,0,0,1,0,0,0,1,0,0,0,2,0,1,1,0,0
"350470",2,0,0,30,0,22,2,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"350480",171,5,4,164,7,395,93,4,5,444,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,1,0,0,0,0,0
"350490",55,27,0,122,7,397,11,0,1,26,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"350500",1,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"350510",55,0,32,133,37,131,9,4,2,201,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"350520",19,150,2,33,222,121,7,7,1,180,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"350530",11,9,2,12,79,90,24,0,1,157,0,0,0,0,0,0,0,0,1,0,1,3,0,3,3,1,3,6,6,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"350550",1088,1175,397,4334,50,834,1383,13,239,5506,0,0,1,0,0,0,0,0,0,1,3,2,4,5,2,2,2,3,7,2,1,2,1,3,0,0,1,0,0,0,0,3,0,2,2,1,0,1,0,1
"350560",174,126,16,440,28,182,404,34,79,981,0,0,0,0,0,0,0,2,0,0,1,1,2,1,5,1,2,1,1,0,0,0,0,0,3,2,1,0,0,0,0,1,0,1,0,0,0,0,1,0
"350570",207,229,61,243,890,6455,55,5,8,217,1,1,1,0,0,0,0,0,0,1,46,40,41,39,41,36,35,21,25,23,2,5,1,0,1,3,0,0,2,0,3,4,1,0,2,0,0,4,3,0
"350580",48,7,2,34,26,466,92,6,2,364,3,7,15,7,11,5,11,7,11,10,0,0,2,1,5,0,3,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0
