cod_ibge,inc_hosp_circ_media,inc_hosp_resp_media,inc_hosp_calor_media,inc_hosp_circ_max,inc_hosp_resp_max,inc_hosp_calor_max,inc_obit_circ_media,inc_obit_resp_media,inc_obit_calor_media,inc_obit_circ_max,inc_obit_resp_max,inc_obit_calor_max,total_hosp_circ,total_hosp_resp,total_hosp_calor,total_obit_circ,total_obit_resp,total_obit_calor
353380,854.8474942167618,861.5137774074487,0,1219.047619047619,1228.4069097888676,0,283.8923545763754,84.74019909780716,0,425.8614014711576,152.38095238095238,0,223,224,0,74,22,0
353390,766.0754615988054,820.7435664637641,0,1018.0436847103514,934.2287181512938,0,208.5524770058071,124.7821529328454,0,259.25655444387644,159.29535232383807,0,4028,4328,0,1101,657,0
353400,1247.3076274150492,1193.7874762604106,0,1810.7625605712828,2266.995380996911,0,183.3544193114732,122.32210771214899,0,258.9453860640301,261.34473746733187,0,517,488,0,76,51,0
353410,661.5135063328958,508.31190535338897,0,828.9020957147326,724.525975026977,0,246.51124293759585,127.12762325591427,0,359.47712418300654,202.4606759071796,0,420,323,0,156,81,0
353420,720.0220206239078,406.3067100386989,0,926.2166405023548,523.1876778838105,0,105.5725826244934,60.06181680028502,0,186.31436314363143,92.40720776220545,0,457,259,0,66,38,0
353430,789.5183660185747,782.033339976623,0,919.8691741618969,1036.039817203252,0,200.95493896890514,66.48446838188951,0,223.9874382302683,108.60839590121358,0,3332,3281,0,846,281,0
353440,527.8347526223736,400.43362012488467,0.01432898782895774,557.0530904785185,450.0735077075626,0.1432898782895774,219.00582312814777,83.46121111098832,0,239.09291164906617,92.6379331575074,0,36240,27519,1,15046,5737,0
353450,786.4516996683896,715.0631090684614,0,1104.5364891518739,1146.7889908256882,0,267.04478646464037,169.64302224038914,0,394.47731755424064,344.03669724770646,0,203,185,0,69,44,0
353460,981.7876435602004,831.3094926201063,0,1263.6440171503853,1292.9553474451104,0,212.1631762796908,121.95492477908105,0,242.38333384469058,204.83658931792476,0,3143,2655,0,681,393,0
353470,912.3338290822617,495.21579444361964,0,1161.5689374295105,758.6346504207675,0,182.3487478691601,83.93813856484141,0,202.7600946213775,104.10742343766569,0,9884,5350,0,1987,914,0
353475,944.5014150450837,879.1201105919162,0,1065.9025787965616,1047.9810952429877,0,170.2273199387777,112.8201722967297,0,212.1855107608366,206.30372492836676,0,889,829,0,161,107,0
353480,869.1764130234179,1033.579395280803,0,1113.744075829384,1197.2997070436886,0,203.3220898453667,114.18232072231865,0,291.98785330530245,201.4218009478673,0,716,848,0,168,94,0
353490,864.6947995200305,1612.5448437643447,0,1011.5460759237583,2362.5590639765996,0,192.97797379450375,118.46705579895207,0,289.24723407332414,184.58043447394576,0,1190,2206,0,266,164,0
353500,1026.1671748457986,689.2798062337012,0,1357.0216944915633,1154.2980920715052,0,187.1503538292755,140.80730476765393,0,271.0891404879605,214.26658334077314,0,1225,817,0,225,168,0
353510,627.7221585923439,347.227325146846,0,708.1419988125004,571.9608451947117,0,120.47500592673899,51.06580313250746,0,188.7470789142549,62.84367635506677,0,760,420,0,145,62,0
353520,1893.7158701095768,3128.204936567592,0,2300.502930225852,3928.75851231011,0,235.03831227216074,133.68152154348292,0,278.372591006424,188.58040859088527,0,1800,2973,0,223,127,0
353530,1090.0677476170583,1346.3012877045232,0,1337.346324153712,1719.5227076811398,0,257.2120685103586,96.55399719281611,0,288.9912399530389,139.8412125586431,0,2376,2945,0,561,211,0
