cod_ibge,nome_municipio,pop_2010,pop_2011,pop_2012,pop_2013,pop_2014,pop_2015,pop_2016,pop_2017,pop_2018,pop_2019,pop_mean
350910,Caiuá,5053.95,5105,5167,5418,5490,5560,5628,5695,5800,5874,5479.094999999999
350920,Cajamar,64487.61,65139,66131,69584,70710,71805,72875,73921,75638,76801,70709.161
350925,Cajati,28023.93,28307,28243,29059,29010,28962,28916,28870,28605,28549,28654.493
350930,Cajobi,9715.86,9814,9858,10232,10287,10341,10393,10444,10486,10542,10211.286
350940,Cajuru,23335.29,23571,23763,24783,25009,25230,25445,25655,25935,26167,24889.329
350945,Campina do Monte Alegre,5539.05,5595,5622,5836,5869,5901,5932,5963,5991,6024,5827.205
350950,Campinas,1079482.14,1090386,1098630,1144862,1154617,1164098,1173370,1182429,1194094,1204073,1148604.114
350960,Campo Limpo Paulista,74120.31,74869,75637,79091,79982,80847,81693,82520,83735,84650,79714.43100000001
350970,Campos do Jordão,47580.39,48061,48324,50221,50541,50852,51157,51454,51763,52088,50204.139
350980,Campos Novos Paulista,4521.33,4567,4594,4776,4808,4839,4870,4900,4932,4965,4777.233
350990,Cananéia,12098.789999999999,12221,12216,12598,12601,12604,12606,12609,12539,12540,12463.279
350995,Canas,4400.55,4445,4502,4722,4788,4852,4914,4975,5071,5138,4780.755
351000,Cândido Mota,29631.69,29931,29976,30993,31063,31131,31198,31263,31212,31280,30767.869
351010,Cândido Rodrigues,2646.27,2673,2677,2767,2773,2780,2786,2792,2787,2793,2747.427
351015,Canitar,4393.62,4438,4504,4737,4812,4884,4956,5025,5139,5216,4810.4619999999995
351020,Capão Bonito,45674.64,46136,46095,47510,47498,47486,47475,47463,47159,47138,46963.464
351030,Capela do Alto,17607.15,17785,18029,18933,19212,19482,19747,20005,20419,20706,19192.515
351040,Capivari,48630.78,49122,49650,51949,52559,53152,53731,54298,55141,55768,52400.078
351050,Caraguatatuba,101497.77,102523,104150,109678,111524,113317,115071,116786,119625,121532,111570.37700000001
351060,Carapicuíba,367786.98,371502,373358,387788,390073,392294,394465,396587,398611,400927,387339.198
351070,Cardoso,11702.789999999999,11821,11836,12233,12257,12281,12305,12328,12303,12326,12139.279
351080,Casa Branca,28138.77,28423,28535,29597,29739,29877,30012,30144,30237,30380,29508.277000000002
351090,Cássia dos Coqueiros,2589.84,2616,2599,2657,2640,2623,2607,2591,2542,2523,2598.784
351100,Castilho,18055.62,18238,18465,19360,19620,19873,20120,20362,20738,21006,19583.762
351110,Catanduva,112222.44,113356,113873,118209,118853,119480,120092,120691,121210,121862,117984.844
351120,Catiguá,7099.29,7171,7214,7502,7553,7603,7652,7700,7752,7804,7505.029
351130,Cedral,7989.3,8070,8165,8553,8662,8767,8870,8971,9125,9237,8640.93
351140,Cerqueira César,17538.84,17716,17893,18703,18909,19109,19304,19495,19774,19985,18842.684
351150,Cerquilho,39989.07,40393,41144,43473,44320,45142,45947,46733,48074,48949,44416.407
351160,Cesário Lange,15586.56,15744,15942,16717,16943,17163,17378,17587,17915,18148,16912.356
351170,Charqueada,15090.57,15243,15395,16092,16268,16440,16608,16772,17009,17190,16210.757000000001
351190,Clementina,7121.07,7193,7316,7717,7856,7992,8124,8254,8472,8617,7866.207
351200,Colina,17251.74,17426,17478,18107,18177,18245,18311,18376,18398,18468,18023.773999999998
351210,Colômbia,5938.0199999999995,5998,6001,6196,6203,6211,6218,6225,6203,6210,6140.302000000001
351220,Conchal,25170.75,25425,25615,26689,26914,27132,27345,27554,27820,28050,26771.475
351230,Conchas,16231.05,16395,16497,17162,17286,17406,17523,17638,17770,17896,17180.405
351240,Cordeirópolis,21134.52,21348,21607,22648,22945,23234,23517,23793,24221,24528,22897.552000000003
351250,Coroados,5248.98,5302,5362,5615,5685,5753,5820,5885,5986,6058,5671.498
351260,Coronel Macedo,4906.44,4956,4913,5009,4965,4922,4881,4840,4728,4681,4880.144
351270,Corumbataí,3842.19,3881,3887,4018,4027,4036,4045,4054,4047,4055,3989.219
351280,Cosmópolis,59338.62,59938,61013,64415,65628,66807,67960,69086,70998,72252,65743.562
351290,Cosmorama,7129.98,7202,7191,7404,7396,7388,7381,7374,7316,7307,7308.897999999999
351300,Cotia,203102.46,205154,209027,220941,225306,229548,233696,237750,244694,249210,225842.846
351310,Cravinhos,31623.57,31943,32187,33543,33831,34110,34384,34651,34998,35292,33656.257
351320,Cristais Paulista,7589.34,7666,7741,8089,8176,8260,8343,8424,8541,8631,8146.034
351330,Cruzália,2226.5099999999998,2249,2224,2260,2234,2209,2185,2161,2100,2073,2192.1510000000003
351340,Cruzeiro,76538.88,77312,77575,80408,80749,81082,81406,81724,81895,82238,80092.788
351350,Cubatão,118324.8,119520,120293,125178,126105,127006,127887,128748,129760,130705,125352.68000000001
351360,Cunha,21555.27,21773,21682,22251,22167,22086,22007,21929,21639,21547,21863.627
351370,Descalvado,30907.8,31220,31379,32595,32790,32980,33165,33346,33520,33718,32562.079999999998
351380,Diadema,384690.24,388576,390980,406718,409613,412428,415180,417869,420934,423884,407087.22400000005
351385,Dirce Reis,1678.05,1695,1699,1760,1766,1772,1779,1785,1786,1793,1751.3049999999998
351390,Divinolândia,11034.539999999999,11146,11086,11604,11547,11492,11437,11384,11208,11146,11308.454000000002
351400,Dobrada,7930.89,8011,8080,8432,8513,8592,8669,8744,8846,8929,8474.689
351410,Dois Córregos,24683.67,24933,25100,26126,26324,26517,26706,26891,27112,27315,26170.767
351420,Dolcinópolis,2071.08,2092,2088,2148,2145,2142,2139,2136,2119,2115,2119.5080000000003
351430,Dourado,8523.9,8610,8610,8884,8890,8897,8903,8909,8868,8873,8796.789999999999
351440,Dracena,43035.3,43470,43675,45346,45600,45847,46088,46324,46536,46793,45271.43
351450,Duartina,12111.66,12234,12218,12585,12576,12567,12558,12549,12457,12445,12430.066
351460,Dumont,8201.16,8284,8421,8874,9028,9178,9325,9468,9708,9868,9035.516
351470,Echaporã,6216.21,6279,6242,6389,6352,6316,6281,6247,6141,6102,6256.521
351480,Eldorado,14533.2,14680,14718,15238,15289,15339,15388,15436,15443,15494,15155.820000000002
351490,Elias Fausto,15760.8,15920,16060,16762,16926,17085,17241,17393,17604,17772,16852.379999999997
351492,Elisiário,3130.38,3162,3202,3359,3406,3451,3494,3537,3604,3651,3399.6380000000004
351495,Embaúba,2394.81,2419,2415,2486,2484,2481,2479,2476,2456,2452,2454.281
351500,Embu das Artes,240302.7,242730,245148,256247,259053,261781,264448,267054,270843,273726,258133.27000000002
351510,Embu-Guaçu,62586.81,63219,63653,66273,66792,67296,67788,68270,68856,69385,66411.88100000001
351512,Emilianópolis,2999.7,3030,3040,3149,3162,3174,3186,3197,3202,3214,3135.37
351515,Engenheiro Coelho,15996.42,16158,16580,17681,18153,18611,19059,19497,20284,20773,18279.242
351518,Espírito Santo do Pinhal,41596.83,42017,42123,43611,43756,43897,44036,44170,44186,44330,43372.283
351519,Espírito Santo do Turvo,4245.12,4288,4330,4525,4574,4621,4668,4713,4779,4829,4557.2119999999995
351520,Estrela d'Oeste,8122.95,8205,8201,8458,8460,8462,8464,8466,8418,8419,8367.595
351530,Estrela do Norte,2634.39,2661,2663,2752,2756,2761,2765,2769,2762,2766,2728.939
351535,Euclides da Cunha Paulista,9441.63,9537,9491,9729,9685,9642,9600,9559,9419,9371,9547.463
351540,Fartura,15190.56,15344,15367,15889,15925,15960,15994,16028,16001,16036,15773.456
