"cod_ibge","nome_municipio","cod_microrregiao","nome_microrregiao","cod_mesorregiao","nome_mesorregiao","persist_dengue","persist_leishmaniose","persist_leptospirose","persist_malaria","incidence_mean_dengue","incidence_mean_leishmaniose","incidence_mean_leptospirose","incidence_mean_malaria","incidence_max_dengue","incidence_max_leishmaniose","incidence_max_leptospirose","incidence_max_malaria","total_cases_dengue","total_cases_leishmaniose","total_cases_leptospirose","total_cases_malaria","copresence_years","copresence_3plus","copresence_all4","dengue_leptospirose","dengue_malaria","dengue_leishmaniose","leptospirose_malaria","leptospirose_leishmaniose","malaria_leishmaniose"
"350420","Auriflama",35006,"Auriflama",3501,"São José do Rio Preto",10,6,4,1,798.284341856883,4.73395231328689,4.09972132603247,0.665601703940362,4035.81539271841,13.2248892415526,14.1718836913505,6.65601703940362,1197,7,6,1,8,3,0,4,1,6,1,2,0
"350440","Avanhandava",35018,"Birigui",3503,"Araçatuba",10,5,1,0,571.066098147064,6.23154671410314,0.855798031664527,0,1519.41113596622,15.7245066436041,8.55798031664527,0,712,8,1,0,6,0,0,1,0,5,0,0,0
"350450","Avaré",35022,"Avaré",3504,"Bauru",9,3,6,1,37.8681701228787,0.35147414623369,1.04886787088695,0.11986096128491,302.08745827912,1.1986096128491,4.79443845139638,1.1986096128491,334,3,9,1,7,1,1,6,1,2,1,1,1
"350460","Bady Bassitt",35004,"São José do Rio Preto",3501,"São José do Rio Preto",10,6,7,4,2243.98932901932,4.93879829623522,10.5997697751403,3.11827777212009,9130.38509884585,12.045290291496,31.5437511828907,12.4154199515799,3718,8,17,5,9,5,3,7,4,6,3,4,4
"350470","Balbinos",35020,"Bauru",3504,"Bauru",5,0,1,0,207.961038052115,0,1.80766449746927,0,854.402789886661,0,18.0766449746927,0,105,0,1,0,0,0,0,0,0,0,0,0,0
"350480","Bálsamo",35004,"São José do Rio Preto",3501,"São José do Rio Preto",10,4,2,2,1474.13915484151,4.49583208555247,3.45231918444393,3.46625766503634,4896.33877370975,11.5861429730043,22.4517287831163,23.1722859460086,1292,4,3,3,6,2,0,2,2,4,0,1,1
"350490","Bananal",35052,"Bananal",3513,"Vale do Paraíba Paulista",8,2,3,1,604.480977123823,2.78840939617989,3.70613728501082,0.93214019388516,3684.45475638051,18.6428038777032,18.5614849187935,9.3214019388516,646,3,4,1,5,1,0,3,1,2,0,0,1
"350500","Barão de Antonina",35041,"Itapeva",3511,"Itapetininga",3,1,2,0,33.1851606211569,3.00661455201443,5.94260985442195,0,180.396873120866,30.0661455201443,30.0661455201443,0,11,1,2,0,1,1,0,1,0,1,0,1,0
"350510","Barbosa",35018,"Birigui",3503,"Araçatuba",9,4,2,1,849.744877914403,8.35455315588499,6.9626584982795,1.39082058414465,2715.48230208052,28.5795941697628,56.1167227833895,13.9082058414465,604,6,5,1,6,1,0,2,1,4,0,0,1
"350520","Bariri",35021,"Jaú",3504,"Bauru",10,1,6,0,220.2880708443,0.311507071210516,2.37069412686585,0,657.563460797962,3.11507071210516,5.87406015037594,0,742,1,8,0,6,1,0,6,0,1,0,1,0
"350530","Barra Bonita",35021,"Jaú",3504,"Bauru",9,2,9,0,106.457531352896,0.552086204250048,8.03454566788693,0,434.590045950285,2.76801284357959,16.6080770614776,0,385,2,29,0,8,2,0,8,0,2,0,2,0
"350550","Barretos",35009,"Barretos",3502,"Ribeirão Preto",10,6,10,6,1265.90806266631,0.863467172992299,2.71623949370411,0.853335028691164,4509.49237497748,2.54714337870079,5.76872362869198,2.66122593808214,15019,10,32,10,10,9,3,10,6,6,6,6,3
"350560","Barrinha",35014,"Ribeirão Preto",3502,"Ribeirão Preto",10,4,9,3,783.670599872724,2.555345653222,4.90604131874212,0.983031838079576,2989.75984395953,9.71722864639005,16.1953810773167,3.46909040449594,2464,8,15,3,9,7,0,9,3,4,3,4,0
"350570","Barueri",35057,"Osasco",3515,"Metropolitana de São Paulo",10,7,10,6,320.835291322145,0.715764536961135,13.5612405135679,0.666877955499084,2461.15718234677,2.46667927413851,19.1022300690861,1.64445284942567,8370,18,347,17,10,8,5,10,6,7,6,7,5
"350580","Bastos",35037,"Tupã",3509,"Marília",10,10,5,2,499.00489457939,43.1658992510221,5.72883075842244,0.98391954595612,2211.99031660891,73.4430082256169,23.7371819217622,4.94299491118674,1047,90,12,2,10,6,1,5,2,10,1,5,2
"350590","Batatais",35015,"Batatais",3502,"Ribeirão Preto",10,7,10,4,990.288195825759,1.86593545813687,3.99091051392295,1.19593966130543,6979.03014416776,5.32678777651355,8.1913499344692,3.51567993249895,6021,11,24,7,10,9,2,10,4,7,4,7,2
"350600","Bauru",35020,"Bauru",3504,"Bauru",10,10,10,6,1340.39181553603,8.40097414291028,1.53876910307692,0.305410973335545,6990.37731743176,14.7366048596122,3.2062243502052,0.86170744457785,49477,300,56,11,10,10,6,10,6,10,6,10,6
"350610","Bebedouro",35013,"Jaboticabal",3502,"Ribeirão Preto",10,8,10,4,1225.77523039729,1.94222149848537,7.14947835171199,0.658928802754027,8144.07358264521,5.15743056809098,10.3231134510168,2.66481905878591,9484,15,55,5,10,9,3,10,4,8,4,8,3
"350620","Bento de Abreu",35017,"Araçatuba",3503,"Araçatuba",8,1,0,0,421.355420084204,3.38409475465313,0,0,989.04980572236,33.8409475465313,0,0,120,1,0,0,0,0,0,0,0,0,0,0,0
"350635","Bertioga",35063,"Santos",3515,"Metropolitana de São Paulo",10,7,10,6,621.542697547529,2.6891849374496,23.8419672127878,74.7888851384424,1603.89122978669,8.84095128635841,32.0420931918984,304.150763358779,3366,15,134,411,10,9,4,10,6,7,6,7,4
"350640","Bilac",35018,"Birigui",3503,"Araçatuba",10,5,0,0,2081.86494869043,7.88879437071213,0,0,10094.5979586756,25.7698750161062,0,0,1627,6,0,0,5,0,0,0,0,5,0,0,0
"350650","Birigui",35018,"Birigui",3503,"Araçatuba",10,10,10,4,1896.16345227993,19.8398033510735,2.99871617900384,0.339935600994837,6422.78263964153,33.3612846799571,6.62844264739999,0.910448304745257,22698,229,35,4,10,10,4,10,4,10,4,10,4
"350670","Boa Esperança do Sul",35024,"Araraquara",3505,"Araraquara",9,1,2,0,1095.61320587477,0.728438228438228,2.73693452850211,0,5570.16329919734,7.28438228438228,20.4946030878535,0,1595,1,4,0,3,0,0,2,0,1,0,0,0
"350680","Bocaina",35021,"Jaú",3504,"Bauru",8,1,5,0,252.172076820571,0.819403474270731,11.4585354951853,0,1086.86835915322,8.19403474270731,54.7045951859956,0,302,1,13,0,4,0,0,3,0,1,0,0,0
"350700","Boituva",35043,"Tatuí",3511,"Itapetininga",10,5,8,2,230.78662827376,1.9599605109901,2.05593250276699,0.576805171313165,1625.84118438762,8.63408737696425,4.09071989511394,3.74314536505025,1309,11,11,3,8,6,1,8,2,5,2,5,1
"350710","Bom Jesus dos Perdões",35048,"Bragança Paulista",3512,"Macro Metropolitana Paulista",10,3,9,1,224.674230304295,1.77792534772122,16.7284432986402,0.424989375265618,1863.19218241042,8.88572951839346,35.0052332823757,4.24989375265618,520,4,37,1,9,4,0,9,1,3,1,3,0
"350720","Borá",35039,"Assis",3510,"Assis",8,0,1,0,850.155219981238,0,11.9617224880383,0,4425.83732057416,0,119.617224880383,0,71,0,1,0,1,0,0,1,0,0,0,0,0
"350740","Borborema",35024,"Araraquara",3505,"Araraquara",10,2,6,0,1226.49870858114,1.32573558066226,5.93245851970712,0,3938.67630562134,6.83433570256971,20.3652162107121,0,1896,2,9,0,7,1,0,6,0,2,0,1,0
"350745","Borebi",35020,"Bauru",3504,"Bauru",6,1,2,0,346.223457188932,3.96982929734021,8.36968558103984,0,2940.06784771956,39.6982929734021,43.5200779879798,0,91,1,2,0,2,0,0,1,0,1,0,0,0
"350750","Botucatu",35023,"Botucatu",3504,"Bauru",10,9,10,4,77.2017106526086,1.10290093662428,8.9615605823637,0.51832232074084,538.41686800542,2.10458378348042,20.1880595392464,2.32939148529766,1077,15,120,7,10,9,4,10,4,9,4,9,4
"350760","Bragança Paulista",35048,"Bragança Paulista",3512,"Macro Metropolitana Paulista",10,5,10,6,88.2923208230154,0.709507998047011,15.2738562708518,0.71102242923358,431.954688326642,2.69521800944674,27.6259845968291,2.04183182533844,1414,11,240,11,10,8,3,10,6,5,6,5,3
"350770","Braúna",35018,"Birigui",3503,"Araçatuba",9,7,2,1,660.408645147973,36.178508038182,3.71259383027659,1.79953212164837,3263.65969930326,175.870559268378,19.5388823759281,17.9953212164837,362,20,2,1,7,3,0,2,1,7,0,2,1
"350775","Brejo Alegre",35018,"Birigui",3503,"Araçatuba",8,2,1,0,444.986373812227,7.16890452971986,3.55618776671408,0,1256.5445026178,36.1271676300578,35.5618776671408,0,124,2,1,0,2,0,0,0,0,1,0,1,0
"350780","Brodowski",35014,"Ribeirão Preto",3502,"Ribeirão Preto",10,2,7,1,997.952581132591,0.846778906099318,5.56534948145,0.852514919011083,4851.83848590561,4.26257459505541,9.21361772700051,8.52514919011083,2379,2,13,2,7,2,1,7,1,2,1,2,1
"350790","Brotas",35026,"Rio Claro",3506,"Piracicaba",10,2,3,0,505.672594187639,0.885993020481501,1.29567381870542,0,1173.42065766135,4.58989305549181,4.5481420839587,0,1166,2,3,0,4,1,0,3,0,2,0,1,0
"350810","Buritama",35018,"Birigui",3503,"Araçatuba",10,7,5,2,2529.67183655952,9.06295615477442,3.5498373898612,1.86486477596169,9520.3355827102,23.5252602481915,11.6658889407373,12.2609122118686,4193,15,6,3,8,6,0,5,2,7,0,4,2
"350820","Buritizal",35011,"Ituverava",3502,"Ribeirão Preto",9,1,0,0,913.184883394166,2.24870699347875,0,0,3860.7453693372,22.4870699347875,0,0,400,1,0,0,1,0,0,0,0,1,0,0,0
"350830","Cabrália Paulista",35020,"Bauru",3504,"Bauru",6,0,0,0,341.354143787361,0,0,0,2369.02050113895,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0
"350840","Cabreúva",35046,"Sorocaba",3512,"Macro Metropolitana Paulista",10,9,6,3,119.771962239274,4.58083270927196,2.80706206821581,1.45746607136149,567.400275103164,9.32640070880645,10.4434279507906,10.0589454201621,565,21,13,7,10,7,1,6,3,9,1,6,2
"350850","Caçapava",35050,"São José dos Campos",3513,"Vale do Paraíba Paulista",10,1,10,7,353.852859913661,0.111522505241558,5.81860445830203,1.00892052950919,1344.85860336544,1.11522505241558,11.7662159849392,3.31762988521001,3225,1,53,9,10,7,1,10,7,1,7,1,1
"350860","Cachoeira Paulista",35051,"Guaratinguetá",3513,"Vale do Paraíba Paulista",10,5,9,1,554.451439356749,2.60070756789115,11.718749591115,0.309655044280671,1517.5007422558,9.89674397123346,33.0062711915264,3.09655044280671,1747,8,38,1,10,4,1,9,1,5,1,4,1
"350880","Cafelândia",35019,"Lins",3504,"Bauru",10,3,3,0,384.979647663785,1.70829891058516,2.30945085030547,0,1564.69859852536,5.73921028466483,11.3810959995448,0,675,3,4,0,5,1,0,3,0,3,0,1,0
"350890","Caiabu",35036,"Presidente Prudente",3508,"Presidente Prudente",8,2,1,0,419.343847820855,4.75115869806852,2.37473284255521,0,2266.76210928179,23.7642585551331,23.7473284255521,0,176,2,1,0,2,1,0,1,0,2,0,1,0
"350900","Caieiras",35058,"Franco da Rocha",3515,"Metropolitana de São Paulo",10,5,10,2,127.47445984645,0.65219470434474,5.43892836618487,0.226580527113858,547.087074545834,2.30343202157487,8.06201207551203,1.14019885067956,1215,6,51,2,10,6,1,10,2,5,2,5,1
"350920","Cajamar",35057,"Osasco",3515,"Metropolitana de São Paulo",10,6,10,2,642.755832088491,1.13296481440222,8.53518278453445,0.589852421206,4729.47566325465,3.10137094551961,16.8869647983543,3.02430025252907,4637,8,59,4,10,6,2,10,2,6,2,6,2
"350925","Cajati",35055,"Registro",3514,"Litoral Sul Paulista",10,8,10,1,341.223470517809,7.65865306756015,18.5143569679714,0.353269509308652,1755.05007054613,20.7497579194909,32.1154099371501,3.53269509308652,980,22,53,1,10,8,1,10,1,8,1,8,1
"350930","Cajobi",35005,"Catanduva",3501,"São José do Rio Preto",10,2,4,1,949.471967844012,1.93481358862741,3.84989786809881,1.91497510532363,3063.93473724151,9.77326035965598,9.72100709633518,19.1497510532363,976,2,4,2,6,1,0,4,1,2,0,0,1
"350940","Cajuru",35015,"Batatais",3502,"Ribeirão Preto",10,4,3,0,543.597298294133,2.45461399910134,1.21817911040738,0,3515.65596512089,8.4850027576259,4.28535492809389,0,1348,6,3,0,6,1,0,3,0,4,0,1,0
"350950","Campinas",35032,"Campinas",3507,"Campinas",10,10,10,10,1328.69515856297,0.930004570773265,25.6709477867348,0.563436256458406,5734.74054589906,1.29691816855812,41.2697888637602,0.917106419194671,154590,106,2918,64,10,10,10,10,10,10,10,10,10
"350960","Campo Limpo Paulista",35047,"Jundiaí",3512,"Macro Metropolitana Paulista",10,8,10,1,316.597186560765,1.51134828327807,8.164642099238,0.132210426114203,1384.06141381811,3.58273123544515,21.3706607541172,1.32210426114203,2551,12,64,1,10,8,1,10,1,8,1,8,1
"350970","Campos do Jordão",35049,"Campos do Jordão",3513,"Vale do Paraíba Paulista",9,2,7,1,16.3681145382866,0.624043642366205,4.70013971798081,0.208068912423795,58.6430009578357,4.13873023756312,17.2784518507142,2.08068912423795,83,3,24,1,7,2,0,6,1,2,1,1,0
"350980","Campos Novos Paulista",35039,"Assis",3510,"Assis",7,4,5,1,483.960131181663,8.3250972517034,14.4995371390741,2.18962119553317,3665.65961732125,21.8962119553317,41.5973377703827,21.8962119553317,238,4,7,1,5,3,0,3,1,3,0,3,1
"350990","Cananéia",35055,"Registro",3514,"Litoral Sul Paulista",10,2,8,1,434.454747977467,1.58686109482827,24.7293394065156,0.797511763298509,1905.06429591999,7.93776789966661,55.8213716108453,7.97511763298509,547,2,31,1,8,3,0,8,1,2,1,2,0
"351000","Cândido Mota",35039,"Assis",3510,"Assis",10,0,10,5,1592.7630251718,0,52.5422689709243,3.96772038210685,13944.2998939963,0,134.990613090242,13.364070695934,4954,0,160,12,10,5,0,10,5,0,5,0,0
"351010","Cândido Rodrigues",35013,"Jaboticabal",3502,"Ribeirão Preto",9,1,1,0,799.806226891027,7.16075904045829,7.19424460431655,0,2692.03158650395,71.6075904045829,71.9424460431655,0,220,2,2,0,2,0,0,1,0,1,0,0,0
"351015","Canitar",35040,"Ourinhos",3510,"Assis",8,0,1,0,181.498681240612,0,9.01306894997747,0,862.730061349693,0,90.1306894997747,0,91,0,4,0,1,0,0,1,0,0,0,0,0
"351020","Capão Bonito",35044,"Capão Bonito",3511,"Itapetininga",10,2,10,2,36.9370388532721,0.634976571119311,7.21323851570357,0.429630308154578,242.176641536453,4.24286138571853,16.842814434292,2.1893987560712,175,3,34,2,10,3,1,10,2,2,2,2,1
