cod_ibge,ano,n_focos,frp_sum,frp_mean,frp_max,frp_std
351450,2017,3,60.6,20.2,38.7,16.76872088145068
351460,2010,2,73.1,36.55,42.6,8.555992052357228
351460,2011,9,608.0,67.55555555555556,174.4,46.29230797635583
351460,2012,1,28.7,28.7,28.7,
351460,2013,2,28.5,14.25,16.8,3.6062445840513933
351460,2014,6,183.6,30.599999999999998,45.7,9.788564756898737
351460,2015,1,7.9,7.9,7.9,
351460,2016,1,17.0,17.0,17.0,
351460,2017,2,123.1,61.55,110.0,68.51864709697645
351460,2018,2,165.9,82.95,91.7,12.374368670764582
351460,2019,2,209.7,104.85,171.6,94.39875528840409
351470,2010,2,82.2,41.1,68.9,39.31513703397204
351470,2011,5,375.2,75.03999999999999,247.3,96.77413394084186
351470,2012,1,21.3,21.3,21.3,
351470,2013,10,375.2,37.519999999999996,96.7,30.791080959697833
351470,2015,1,12.2,12.2,12.2,
351470,2016,2,14.3,7.15,7.2,0.07071067811865482
351470,2017,3,156.9,52.300000000000004,77.6,36.626356630164565
351470,2019,2,33.5,16.75,28.1,16.05132393293463
351480,2010,6,75.8,12.633333333333333,21.0,4.693257575146144
351480,2011,4,47.5,11.875,18.6,5.327522876534648
351480,2012,16,212.9,13.30625,28.8,6.837686621462944
351480,2013,5,45.099999999999994,9.02,12.7,3.4237406443829825
351480,2014,5,52.4,10.48,16.9,4.684228858627639
351480,2015,1,4.9,4.9,4.9,
351480,2016,9,74.3,8.255555555555555,19.6,4.595680338946322
351480,2017,9,103.3,11.477777777777778,20.9,5.430878791175922
351480,2018,5,51.6,10.32,24.0,7.6776949665899075
351480,2019,3,45.2,15.066666666666668,31.5,14.295570409512637
351490,2011,4,260.7,65.175,120.4,42.098406541499095
351490,2012,1,17.5,17.5,17.5,
351490,2013,8,253.49999999999997,31.687499999999996,130.7,43.789543353897365
351490,2014,9,1404.3,156.03333333333333,787.4,261.274697397203
351490,2015,1,6.4,6.4,6.4,
351490,2017,10,153.2,15.319999999999999,31.2,8.945240820309609
351490,2018,10,183.8,18.380000000000003,42.3,11.801770112054284
351490,2019,10,3125.1,312.51,1612.6,529.6342458086839
351492,2012,2,199.4,99.7,137.9,54.02295808265224
351492,2014,4,402.29999999999995,100.57499999999999,203.5,91.19233794568487
351492,2018,4,207.0,51.75,87.9,31.61798011680485
351495,2010,1,37.7,37.7,37.7,
351495,2014,7,697.1,99.58571428571429,311.0,110.17961742190838
351495,2016,2,110.5,55.25,101.3,65.12453454728103
351495,2017,5,126.3,25.259999999999998,43.6,12.584434830376772
351495,2018,2,82.1,41.05,54.4,18.879751057680817
351500,2010,1,3.7,3.7,3.7,
351510,2010,3,17.4,5.8,7.0,1.039230484541326
351510,2011,2,19.8,9.9,11.4,2.1213203435596424
351510,2012,1,8.4,8.4,8.4,
351510,2013,2,20.200000000000003,10.100000000000001,14.8,6.646803743153546
351510,2014,2,157.2,78.6,83.3,6.646803743153535
351510,2016,2,13.5,6.75,8.3,2.1920310216782974
351510,2017,1,10.7,10.7,10.7,
351510,2019,4,73.5,18.375,53.6,23.634773110821268
