cod_ibge,year,cases_deng,cases_lept,cases_mala,cases_leiv,cases_ltan
352540,2010,1,0,0,0,0
352550,2010,2,0,0,0,0
352560,2010,9,0,0,0,0
352570,2010,311,0,0,1,0
352580,2010,27,0,0,0,0
352585,2010,4,0,0,0,0
352590,2010,466,44,0,0,5
352600,2010,139,0,0,0,0
352610,2010,57,5,0,0,4
352620,2010,3,5,0,0,0
352630,2010,3,0,0,0,0
352640,2010,20,1,0,0,0
352650,2010,41,0,0,0,0
352670,2010,1330,2,0,0,0
352680,2010,190,0,0,0,1
352690,2010,859,18,0,0,1
352700,2010,1,0,0,0,0
352710,2010,925,0,0,2,0
352720,2010,49,3,0,0,0
352725,2010,41,1,0,0,0
352730,2010,10,3,0,0,0
352740,2010,460,0,0,0,1
352750,2010,1,0,0,0,0
352760,2010,277,0,0,0,0
352770,2010,120,0,0,0,0
352780,2010,22,0,0,0,0
352790,2010,2,0,0,0,0
352800,2010,15,0,0,0,0
352810,2010,262,0,0,0,0
352820,2010,54,0,0,0,0
352830,2010,89,0,0,0,0
352840,2010,21,4,0,0,0
352850,2010,26,4,0,0,3
352860,2010,2,0,0,0,0
352870,2010,10,0,0,0,0
352880,2010,16,0,0,0,1
352885,2010,15,1,1,0,0
352890,2010,41,0,0,0,0
352900,2010,2521,14,14,31,1
352910,2010,30,0,0,0,0
352920,2010,62,0,0,0,0
352930,2010,1570,2,0,0,0
352940,2010,189,59,2,0,1
352950,2010,148,0,0,0,0
352960,2010,27,0,0,0,0
352965,2010,12,0,0,0,0
352970,2010,326,0,0,0,0
352980,2010,11,0,0,0,0
352990,2010,97,9,0,0,6
353000,2010,30,0,0,0,0
353010,2010,399,0,0,3,0
353020,2010,50,0,0,0,0
353030,2010,1186,0,0,0,0
353040,2010,170,1,0,0,0
353050,2010,278,7,0,0,1
353060,2010,152,66,2,0,0
353070,2010,1406,10,0,0,1
353080,2010,960,10,0,0,1
353100,2010,153,0,0,0,1
353110,2010,249,3,0,0,0
353120,2010,8,2,0,0,0
353130,2010,744,11,0,0,0
353140,2010,329,0,0,0,0
353150,2010,421,0,0,1,1
353160,2010,28,0,0,0,0
353180,2010,68,0,0,0,2
353190,2010,281,0,0,0,0
353200,2010,12,4,0,0,0
353205,2010,81,0,0,0,0
353210,2010,8,0,0,0,0
353220,2010,4,0,0,0,0
353230,2010,1,0,0,0,0
353240,2010,5,0,0,0,0
353250,2010,200,0,0,0,0
353260,2010,189,0,0,0,0
353270,2010,83,0,0,0,2
353280,2010,187,0,0,0,0
353284,2010,20,0,0,0,0
353286,2010,47,0,0,0,0
353290,2010,187,0,0,0,0
353300,2010,946,0,0,0,0
353310,2010,3,0,0,0,0
353320,2010,16,0,0,0,1
353325,2010,1,0,0,0,1
353330,2010,47,0,0,0,0
353340,2010,540,2,0,0,1
353350,2010,173,0,0,0,0
353360,2010,65,0,0,0,0
353370,2010,18,0,0,0,0
353390,2010,555,0,0,1,0
353400,2010,61,0,0,0,0
353410,2010,38,1,0,0,0
353420,2010,41,0,0,0,0
353430,2010,580,0,0,0,0
353440,2010,955,46,1,0,0
353450,2010,9,0,0,0,0
353460,2010,1195,1,0,0,1
353470,2010,138,2,1,0,1
353475,2010,79,0,0,0,0
353480,2010,94,0,0,0,0
353490,2010,80,0,0,4,0
353500,2010,242,0,0,0,0
353510,2010,85,0,0,0,0
353520,2010,126,0,0,0,0
353530,2010,344,10,0,0,0
353540,2010,191,1,0,0,1
353550,2010,384,0,0,0,2
353560,2010,5,1,0,0,0
353570,2010,12,0,0,0,0
353580,2010,1,0,0,0,0
353590,2010,49,0,0,0,0
353600,2010,254,0,0,0,0
353610,2010,2,0,0,0,0
353620,2010,84,23,2,0,0
353625,2010,73,0,0,0,0
353630,2010,14,0,0,0,0
353640,2010,36,0,0,1,0
353650,2010,350,41,0,0,1
353657,2010,1,0,0,0,0
353660,2010,97,0,0,0,0
353670,2010,102,1,0,0,0
353690,2010,63,0,0,0,0
353700,2010,3,0,0,0,0
353710,2010,118,9,0,0,0
353715,2010,4,0,0,0,1
353720,2010,118,0,0,0,6
353730,2010,1751,0,1,5,0
353740,2010,571,0,0,5,0
353750,2010,23,0,0,0,0
353760,2010,804,9,1,0,0
353770,2010,17,0,0,0,0
353780,2010,34,3,0,0,1
353790,2010,6,0,0,0,1
353800,2010,172,10,0,0,0
353810,2010,128,2,0,0,0
353820,2010,3,0,0,0,0
353830,2010,15,0,0,0,0
353860,2010,9,0,0,0,0
353870,2010,1293,110,6,0,5
353880,2010,23,4,0,0,1
353890,2010,41,0,0,0,0
353900,2010,139,0,0,0,0
353910,2010,18,3,0,0,1
353920,2010,46,0,0,0,0
353930,2010,373,0,0,0,0
353940,2010,23,0,0,0,0
353950,2010,551,1,0,0,2
353960,2010,80,0,0,0,0
353970,2010,2,1,0,0,0
353980,2010,24,9,0,0,0
353990,2010,32,0,0,0,0
354000,2010,118,1,0,0,0
354020,2010,1313,0,0,0,0
354025,2010,33,0,0,0,0
354030,2010,76,0,0,0,0
354040,2010,7,0,0,0,0
354060,2010,252,16,0,0,1
354070,2010,589,0,0,0,0
354075,2010,26,4,0,0,0
354080,2010,192,0,0,0,0
354085,2010,9,0,0,0,0
354090,2010,97,0,0,0,0
354100,2010,7847,22,1,1,0
354105,2010,2,0,0,0,0
354110,2010,3,0,0,0,0
354120,2010,29,0,0,0,0
354130,2010,406,0,0,0,1
354140,2010,1825,35,8,55,10
354150,2010,147,0,0,1,0
354160,2010,211,0,0,0,0
354165,2010,2,0,0,0,0
