cod_ibge,fire_incidence_mean,fire_incidence_max,fire_frp_mean,fire_frp_max,fire_total_foci,fire_frp_total,fire_years_with_fire,fire_recurrence,fire_cv,fire_dry_season_pct,fire_max_consecutive_years,fire_recurrence_norm,fire_risk_index
351040,6.4,20.0,35.17720833333333,243.7,64.0,2478.8,10.0,1.0,0.9860132971832694,0.921875,10.0,1.0,40.784645031001354
351050,2.142857142857143,4.0,11.576190476190476,20.4,15.0,155.2,7.0,0.7,0.6831300510639733,0.13333333333333333,5.0,0.7,24.577452893886417
351060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0
351070,10.3,42.0,75.69864285714286,2322.8,103.0,18290.2,10.0,1.0,1.1136166386075788,0.8058252427184466,10.0,1.0,50.521220947746784
351080,29.6,63.0,40.71619433799584,524.4,296.0,12362.9,10.0,1.0,0.5013980940304281,0.8108108108108109,10.0,1.0,59.65281636681177
351090,3.4444444444444446,9.0,15.381216931216933,61.2,31.0,563.4,9.0,0.9,0.8096709934200732,0.7096774193548387,5.0,0.9,32.21542411532026
351100,22.3,50.0,69.99361355762876,874.2,223.0,18356.7,10.0,1.0,0.7371648116175151,0.8430493273542601,10.0,1.0,58.859559261317486
351110,6.6,20.0,34.05054761904762,614.9,66.0,3272.8,10.0,1.0,0.759929005002183,0.9090909090909091,10.0,1.0,40.752563712032085
351120,10.0,28.0,65.17689514189516,1102.5,90.0,6458.0,9.0,0.9,0.894427190999916,0.9111111111111111,5.0,0.9,45.544421476216144
351130,5.2,13.0,40.71067521367521,203.8,52.0,2299.0,10.0,1.0,0.7892689216216093,0.75,10.0,1.0,40.773758065295425
351140,4.4,12.0,29.261944444444445,165.4,44.0,1328.7,10.0,1.0,0.8312646499603152,0.8409090909090909,10.0,1.0,38.25640127550205
351150,1.6,2.0,18.46,33.3,8.0,146.2,5.0,0.5,0.3423265984407288,0.75,3.0,0.5,19.29890427268314
351160,3.142857142857143,8.0,25.9125,110.2,22.0,526.1,7.0,0.7,0.7886068896771579,0.9090909090909091,3.0,0.7,27.728359995706995
351170,3.8,9.0,22.94605158730159,130.0,38.0,836.4000000000001,10.0,1.0,0.8303269871017006,0.9473684210526315,10.0,1.0,36.74489832536907
351190,3.5,6.0,57.201388888888886,251.7,21.0,1341.6,6.0,0.6,0.469476477861571,0.9047619047619048,4.0,0.6,30.192928479026392
351200,11.222222222222221,34.0,56.48154671810245,892.3,101.0,9394.8,9.0,0.9,0.9095852671950037,0.8316831683168316,5.0,0.9,45.04820598137289
351210,15.0,43.0,77.4235933189381,1530.9,150.0,16010.3,10.0,1.0,0.7665861471404596,0.7666666666666667,10.0,1.0,54.443611762652836
351220,6.5,16.0,26.26520238095238,106.9,65.0,1163.8,10.0,1.0,0.7649453277013486,0.6615384615384615,10.0,1.0,39.38424686214999
351230,1.625,3.0,26.84375,98.2,13.0,367.6,8.0,0.8,0.5637694654233257,0.7692307692307693,4.0,0.8,29.708420096104724
351240,6.2,15.0,30.92816666666667,196.4,62.0,1826.1,10.0,1.0,0.6260613603445006,0.9354838709677419,10.0,1.0,39.92534018047606
351250,8.75,20.0,90.21663194444444,529.2,70.0,7177.0,8.0,0.8,0.7599294120971122,0.8857142857142857,5.0,0.8,45.72933302588948
351260,3.4444444444444446,5.0,27.894444444444446,189.3,31.0,874.1,9.0,0.9,0.3281772572479968,0.6774193548387096,7.0,0.9,34.29033770810991
351270,4.142857142857143,9.0,32.477777777777774,283.9,29.0,1416.1999999999998,7.0,0.7,0.8177092603141337,0.7931034482758621,3.0,0.7,29.59069311589122
351280,7.9,17.0,32.30252941176471,258.1,79.0,2883.4,10.0,1.0,0.6214145675257506,0.8607594936708861,10.0,1.0,41.46851420278658
351290,8.0,24.0,52.01899553571429,206.4,64.0,2565.7000000000003,8.0,0.8,1.0177004891982149,0.875,6.0,0.8,38.81522111047801
351300,4.5,8.0,16.79266666666667,93.0,45.0,787.3,10.0,1.0,0.4829038818668629,0.9777777777777777,10.0,1.0,36.266144762273825
351310,5.6,14.0,35.9577380952381,211.2,56.0,2390.7999999999997,10.0,1.0,0.7152770897999905,0.8392857142857143,10.0,1.0,40.29511510514025
351320,5.0,20.0,20.448571428571427,127.0,35.0,1059.5,7.0,0.7,1.3416407864998738,0.9142857142857143,6.0,0.7,28.259205380699516
351330,3.6,13.0,37.41538461538462,364.1,18.0,1571.8000000000002,5.0,0.5,1.4646029251626742,0.8333333333333334,2.0,0.5,23.989429799086263
351340,8.0,25.0,20.351937085137088,128.6,80.0,2140.4,10.0,1.0,0.8100925873009825,1.0,10.0,1.0,39.56426487610043
351350,1.0,1.0,11.933333333333335,19.5,3.0,35.800000000000004,3.0,0.3,0.0,0.6666666666666666,2.0,0.3,11.75245131129824
351360,8.666666666666666,19.0,17.96200501253133,115.6,78.0,1580.1000000000001,9.0,0.9,0.6527139518645055,0.9743589743589743,8.0,0.9,36.683768290623
351370,16.4,37.0,41.67047021672022,213.4,164.0,6032.099999999999,10.0,1.0,0.685776092635166,0.676829268292683,10.0,1.0,49.59828616348541
351380,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0
351385,2.0,2.0,101.7,196.8,4.0,406.8,2.0,0.2,0.0,1.0,1.0,0.2,24.41104063812806
351390,1.1666666666666667,2.0,49.333333333333336,184.5,7.0,461.09999999999997,6.0,0.6,0.34992710611188255,1.0,3.0,0.6,27.082979328634405
351400,2.8333333333333335,8.0,85.13125000000001,956.6,17.0,3030.3,6.0,0.6,0.9836025866389874,0.8823529411764706,3.0,0.6,34.3083952882019
351410,6.4,17.0,31.850206900942197,220.2,64.0,2798.3,10.0,1.0,0.8844970714730741,0.90625,10.0,1.0,40.23296957492883
351420,2.0,4.0,61.88750000000001,188.4,12.0,861.4000000000001,6.0,0.6,0.5477225575051661,0.75,6.0,0.6,29.809426679969377
351430,4.428571428571429,9.0,34.21960317460317,170.8,31.0,1291.0,7.0,0.7,0.7806629341263076,0.7741935483870968,3.0,0.7,30.100573996186313
351440,7.666666666666667,16.0,38.690031080031076,234.4,69.0,3596.8,9.0,0.9,0.6993786061802353,0.7101449275362319,9.0,0.9,39.3471458298862
351450,4.5,10.0,45.45333333333333,221.7,18.0,652.2,4.0,0.4,0.8215212226969938,0.9444444444444444,2.0,0.4,23.018588269132223
351460,2.8,9.0,45.190555555555555,174.4,28.0,1445.5,10.0,1.0,0.9343531843023135,0.8214285714285714,10.0,1.0,39.659734619467
351470,3.25,10.0,32.92,247.3,26.0,1070.8,8.0,0.8,0.9267326875739788,0.5,4.0,0.8,31.973222788729128
351480,6.3,16.0,10.733458333333335,31.5,63.0,713.0,10.0,1.0,0.665279483978832,0.7936507936507936,10.0,1.0,36.654071166441774
351490,6.625,10.0,77.87572916666667,1612.6,53.0,5404.5,8.0,0.8,0.6034365636207318,0.8867924528301887,5.0,0.8,42.03889333016356
351492,3.3333333333333335,4.0,84.00833333333333,203.5,10.0,808.6999999999999,3.0,0.3,0.3464101615137754,1.0,1.0,0.3,25.5090431155091
351495,3.4,7.0,51.76914285714285,311.0,17.0,1053.7,5.0,0.5,0.7382294351771255,1.0,3.0,0.5,26.214796936913654
351500,1.0,1.0,3.7,3.7,1.0,3.7,1.0,0.1,,1.0,1.0,0.1,4.387219581175627
351510,2.125,4.0,18.578125,83.3,17.0,320.7,8.0,0.8,0.4663676277482893,0.9411764705882353,5.0,0.8,28.724681034058342
351512,2.25,4.0,21.80625,58.0,9.0,219.2,4.0,0.4,0.5592469952052407,0.0,2.0,0.4,17.356672834371736
351515,3.2857142857142856,7.0,18.568979591836733,101.1,23.0,468.3,7.0,0.7,0.7183787670373177,0.5217391304347826,6.0,0.7,26.62120269633221
351518,9.2,23.0,22.607222222222223,123.4,92.0,2206.9,10.0,1.0,0.7750575047606342,0.9347826086956522,10.0,1.0,40.866664156654274
351519,5.3,10.0,44.48519047619048,240.8,53.0,2299.4,10.0,1.0,0.5265769984637605,0.7924528301886793,10.0,1.0,41.47700863823962
351520,6.555555555555555,17.0,29.361061832140265,266.4,59.0,2001.6,9.0,0.9,0.7477342967721734,0.6271186440677966,7.0,0.9,36.94057792694489
351530,8.5,13.0,132.23645502645505,922.8,51.0,6364.7,6.0,0.6,0.40583972495671394,0.9803921568627451,2.0,0.6,46.50353644428741
351535,4.166666666666667,7.0,87.0122619047619,1531.8,25.0,3295.0,6.0,0.6,0.6513984955463129,0.68,2.0,0.6,35.65189272459571
351540,2.2857142857142856,4.0,14.578571428571427,98.4,16.0,273.8,7.0,0.7,0.5484352742120077,0.875,4.0,0.7,25.18582832497322
