Variable_Vuln,Nombre_Vuln,Variable_X,Nombre_X,Variable_Y,Nombre_Y,r_Bajo,r_Alto,Diferencia,Direccion
pct_rural,% Rural,idx_biodiv,Indice Biodiversidad,persist_leptospirose,Persist. Leptospirosis,0.4086361742262251,0.45085320185460587,0.042217027628380754,Alto > Bajo
pct_rural,% Rural,idx_biodiv,Indice Biodiversidad,incidence_mean_dengue,Incid. Dengue,-0.39094158274771185,-0.612074669757782,0.22113308701007017,Alto > Bajo
pct_rural,% Rural,idx_biodiv,Indice Biodiversidad,flooding_risks,Riesgo Inundaciones,0.24171995545350772,0.22103531997122267,0.020684635482285052,Bajo > Alto
pct_rural,% Rural,idx_biodiv,Indice Biodiversidad,hydric_stress_risk,Riesgo Estres Hidrico,0.078518394286068,0.23928657883087334,0.16076818454480535,Alto > Bajo
pct_rural,% Rural,idx_biodiv,Indice Biodiversidad,pol_deficit,Deficit Polinizacion,-0.3695195937072241,-0.6859680262744815,0.3164484325672574,Alto > Bajo
pct_rural,% Rural,forest_cover,Cobertura Forestal,persist_dengue,Persist. Dengue,0.14824661789488228,-0.09500767155696409,0.24325428945184635,Bajo > Alto
pct_rural,% Rural,forest_cover,Cobertura Forestal,persist_leptospirose,Persist. Leptospirosis,0.4734240362035825,0.4728578193815204,0.0005662168220620933,Bajo > Alto
pct_rural,% Rural,forest_cover,Cobertura Forestal,incidence_mean_dengue,Incid. Dengue,-0.3018497584859874,-0.5528557677424383,0.2510060092564509,Alto > Bajo
pct_rural,% Rural,forest_cover,Cobertura Forestal,flooding_risks,Riesgo Inundaciones,0.3190982287363796,0.4650809247615273,0.14598269602514768,Alto > Bajo
pct_rural,% Rural,forest_cover,Cobertura Forestal,hydric_stress_risk,Riesgo Estres Hidrico,0.10003678061362835,0.048354869129066495,0.05168191148456185,Bajo > Alto
pct_rural,% Rural,forest_cover,Cobertura Forestal,pol_deficit,Deficit Polinizacion,-0.6844631833759496,-0.8627928060834674,0.17832962270751784,Alto > Bajo
pct_pobreza,% Pobreza,idx_gobernanza,UAI General,persist_dengue,Persist. Dengue,0.14091183828929743,0.062487620355615406,0.07842421793368202,Bajo > Alto
pct_pobreza,% Pobreza,idx_gobernanza,UAI General,persist_leptospirose,Persist. Leptospirosis,0.37124315481362924,0.14087679347545784,0.2303663613381714,Bajo > Alto
pct_pobreza,% Pobreza,idx_gobernanza,UAI General,incidence_mean_dengue,Incid. Dengue,0.05226684062852414,-0.029475797088780818,0.08174263771730496,Bajo > Alto
pct_pobreza,% Pobreza,idx_gobernanza,UAI General,flooding_risks,Riesgo Inundaciones,0.14517149206030905,0.02112892230165457,0.12404256975865448,Bajo > Alto
pct_pobreza,% Pobreza,idx_gobernanza,UAI General,hydric_stress_risk,Riesgo Estres Hidrico,0.06342162066557938,-0.21473343555831403,0.2781550562238934,Alto > Bajo
pct_pobreza,% Pobreza,idx_gobernanza,UAI General,pol_deficit,Deficit Polinizacion,-0.08120866491262171,-0.06936196009534963,0.011846704817272083,Bajo > Alto
pct_pobreza,% Pobreza,idx_biodiv,Indice Biodiversidad,persist_dengue,Persist. Dengue,-0.10358902597604012,-0.25630240483643163,0.1527133788603915,Alto > Bajo
pct_pobreza,% Pobreza,idx_biodiv,Indice Biodiversidad,persist_leptospirose,Persist. Leptospirosis,0.3031938423790377,0.226384407136964,0.07680943524207368,Bajo > Alto
pct_pobreza,% Pobreza,idx_biodiv,Indice Biodiversidad,incidence_mean_dengue,Incid. Dengue,-0.4863689053104398,-0.46538071433746286,0.02098819097297694,Bajo > Alto
pct_pobreza,% Pobreza,idx_biodiv,Indice Biodiversidad,flooding_risks,Riesgo Inundaciones,0.1708336494399553,0.2477975799949363,0.07696393055498099,Alto > Bajo
pct_pobreza,% Pobreza,idx_biodiv,Indice Biodiversidad,hydric_stress_risk,Riesgo Estres Hidrico,-0.04908683251256799,0.19443049720706776,0.24351732971963574,Alto > Bajo
pct_pobreza,% Pobreza,idx_biodiv,Indice Biodiversidad,pol_deficit,Deficit Polinizacion,-0.339546506880114,-0.7281257480637838,0.3885792411836698,Alto > Bajo
