variable,type,label,aic,bic,aicc,llf,coef,se,p_value,r2_marginal,r2_conditional,n,converged,delta_aic,aic_weight,outcome,outcome_label,predictor_dimension
idx_biodiv,composite,Biodiv (idx),9690.78986796439,9708.666869231572,9690.85236796439,-4841.394933982195,-6.02371783837411,1.9008817456809264,0.0015301324538015088,0.3537558547982596,0.648456720934348,645,True,0.0,0.4313769512804786,incidence_mean_dengue,Dengue,Biodiversidad
mean_species_richness,specific,Riqueza Spp,9690.78986796439,9708.666869231572,9690.85236796439,-4841.394933982195,-1.1930326494833863,0.37648077918875067,0.0015301324538010792,0.3537558547982614,0.6484567209343489,645,True,0.0,0.4313769512804786,incidence_mean_dengue,Dengue,Biodiversidad
forest_cover,specific,Cobertura Forestal,9693.128186022997,9711.00518729018,9693.190686022997,-4842.564093011499,-4.842682158910632,1.7526426583498727,0.005725970314204481,0.34192368892433855,0.6659346038434066,645,True,2.3383180586079106,0.1339977857420345,incidence_mean_dengue,Dengue,Biodiversidad
pol_deficit,specific,Déf. Polinización,9700.567561806954,9718.444563074137,9700.630061806954,-4846.283780903477,26.204937873920368,135.13597340555046,0.8462421741629143,0.33086422934500953,0.6732979607819786,645,True,9.777693842564986,0.003248311697008254,incidence_mean_dengue,Dengue,Biodiversidad
pct_rural,specific,% Rural,9684.162313722138,9702.03931498932,9684.224813722138,-4838.081156861069,-6.365989251645156,1.5613163581438652,4.5557417482500194e-05,0.3491221593853128,0.6678896650716535,645,True,0.0,0.795290857026253,incidence_mean_dengue,Dengue,Vulnerabilidad
idx_vulnerabilidad,composite,Vulnerab. (idx),9687.33739446321,9705.214395730392,9687.39989446321,-4839.668697231605,-8.061614449904269,2.2013587303703797,0.00025014789478141833,0.33847928992246873,0.6807871851381083,645,True,3.1750807410717243,0.16257956864088094,incidence_mean_dengue,Dengue,Vulnerabilidad
pct_pobreza,specific,% Pobreza,9690.069366339501,9707.946367606684,9690.131866339501,-4841.034683169751,-71.05960913711617,21.76634653669308,0.0010959753128287595,0.33288632241839816,0.6858456688196904,645,True,5.907052617363661,0.041478764478369366,incidence_mean_dengue,Dengue,Vulnerabilidad
pct_indigena,specific,% Pob. Indígena,9699.257083577862,9717.134084845045,9699.319583577862,-4845.628541788931,28.034142252582892,24.130620599792298,0.24533039897231235,0.33105102541267256,0.6750403318226981,645,True,15.094769855724735,0.0004195061796378532,incidence_mean_dengue,Dengue,Vulnerabilidad
pct_preta,specific,% Pob. Negra,9700.447777177465,9718.324778444648,9700.510277177465,-4846.223888588733,4.158038477435746,10.481232683893655,0.6915793085009967,0.33079075036994277,0.6736150098530734,645,True,16.285463455327772,0.0002313036748588671,incidence_mean_dengue,Dengue,Vulnerabilidad
UAI_Crisk,specific,UAI Riesgo Clim.,3451.0745494338917,3468.9515507010747,3451.1370494338917,-1721.5372747169458,-1.3315247159778347,0.6329951819474413,0.03541941591561526,0.03575803317784846,0.11673235720344105,645,True,0.0,0.5915978142575052,incidence_mean_malaria,Malaria,Gobernanza
UAI_food,specific,UAI Alimentación,3454.7811007753035,3472.6581020424865,3454.8436007753035,-1723.3905503876517,-0.4053278031850158,0.47687605110236414,0.3953447198830178,0.02850811494448824,0.10253934329383643,645,True,3.706551341411796,0.09271695572446964,incidence_mean_malaria,Malaria,Gobernanza
UAI_housing,specific,UAI Vivienda,3454.7896432228044,3472.6666444899874,3454.8521432228044,-1723.3948216114022,0.3012446947856994,0.3564015364131478,0.3979770723097664,0.027814876387224467,0.09923076605421052,645,True,3.7150937889127817,0.09232178539232906,incidence_mean_malaria,Malaria,Gobernanza
UAI_mob,specific,UAI Movilidad,3454.8909849757747,3472.7679862429577,3454.9534849757747,-1723.4454924878873,0.44406004577181213,0.5671071825619635,0.43361145376863597,0.0278176697764852,0.09982204044066324,645,True,3.8164355418830382,0.08776030271041978,incidence_mean_malaria,Malaria,Gobernanza
UAI_env,specific,UAI Ambiental,3455.3256340109156,3473.2026352780986,3455.3881340109156,-1723.6628170054578,0.2696289869322936,0.639943540122619,0.6735123294646574,0.02777297373556863,0.10207678486961362,645,True,4.251084577023903,0.0706179772736319,incidence_mean_malaria,Malaria,Gobernanza
idx_gobernanza_100,composite,Gobernanza (idx),3455.4918854911666,3473.3688867583496,3455.5543854911666,-1723.7459427455833,-0.0008026984517261818,0.0075716343740335505,0.9155713276763175,0.027445950124163208,0.10144063985634798,645,True,4.417336057274952,0.06498516464164447,incidence_mean_malaria,Malaria,Gobernanza
fire_risk_index,specific,Riesgo Fuego (idx),3448.62191098549,3466.498912252673,3448.68441098549,-1720.310955492745,-0.03026807025817272,0.011458173003686681,0.0082512032921645,0.03486093043306519,0.09811962279814518,645,True,0.0,0.8924133676193453,incidence_mean_malaria,Malaria,Riesgo Climático
flooding_risks,specific,Riesgo Inundación,3454.7907096758718,3472.6677109430548,3454.8532096758718,-1723.3953548379359,-0.5694581281607906,0.6766300652168306,0.40000670458760423,0.029802271451525763,0.10884935210049353,645,True,6.168798690381664,0.040834613696530034,incidence_mean_malaria,Malaria,Riesgo Climático
hydric_stress_risk,specific,Estrés Hídrico,3455.0126879612153,3472.8896892283983,3455.0751879612153,-1723.5063439806077,0.765083001446581,1.0924880555258163,0.48373218991046707,0.02853690531518225,0.10399313021611566,645,True,6.390776975725203,0.03654487487212051,incidence_mean_malaria,Malaria,Riesgo Climático
idx_clima,composite,Clima (idx),3455.3936129762415,3473.2706142434245,3455.4561129762415,-1723.6968064881207,-0.0035723935712814875,0.010800346704033917,0.7408208184962861,0.027826058755706734,0.10271856553992292,645,True,6.771701990751353,0.030207143812004178,incidence_mean_malaria,Malaria,Riesgo Climático
forest_cover,specific,Cobertura Forestal,3436.43547766325,3454.312478930433,3436.49797766325,-1714.217738831625,0.04130838747751389,0.00966746454714877,1.9292209211802095e-05,0.054019710066892566,0.12285512272666908,645,True,0.0,0.6429187724095711,incidence_mean_malaria,Malaria,Biodiversidad
pol_deficit,specific,Déf. Polinización,3437.612220613365,3455.489221880548,3437.674720613365,-1714.8061103066825,-3.541512146869217,0.8266533022454602,1.8343373714528142e-05,0.049003590213421586,0.10393876111639415,645,True,1.1767429501151128,0.3569682760560913,incidence_mean_malaria,Malaria,Biodiversidad
idx_biodiv,composite,Biodiv (idx),3455.115401708853,3472.992402976036,3455.177901708853,-1723.5577008544265,-0.006936324921383046,0.01110135352222166,0.5320905499939929,0.02734258839839386,0.09880054485457122,645,True,18.679924045603002,5.64757671687983e-05,incidence_mean_malaria,Malaria,Biodiversidad
mean_species_richness,specific,Riqueza Spp,3455.115401708853,3472.992402976036,3455.177901708853,-1723.5577008544265,-0.0013737798350907957,0.002198688179100061,0.5320905499939865,0.027342588398393878,0.09880054485457122,645,True,18.679924045603002,5.64757671687983e-05,incidence_mean_malaria,Malaria,Biodiversidad
pct_indigena,specific,% Pob. Indígena,3455.015355601696,3472.892356868879,3455.077855601696,-1723.507677800848,0.14219405296787196,0.20354357131935907,0.48480660738017745,0.028218880065483957,0.10247083260721734,645,True,0.0,0.2221377541344719,incidence_mean_malaria,Malaria,Vulnerabilidad
pct_pobreza,specific,% Pobreza,3455.1714832806483,3473.0484845478313,3455.2339832806483,-1723.5857416403242,-0.10022743001407784,0.17408623720777777,0.5647947405233582,0.028186884000822972,0.1032020325144749,645,True,0.15612767895254365,0.20545640371877594,incidence_mean_malaria,Malaria,Vulnerabilidad
pct_preta,specific,% Pob. Negra,3455.217576936663,3473.094578203846,3455.280076936663,-1723.6087884683316,0.04141757047342409,0.07747590167900051,0.5929358265125846,0.02762422904270796,0.10074619380920641,645,True,0.20222133496736205,0.2007754332717194,incidence_mean_malaria,Malaria,Vulnerabilidad
pct_rural,specific,% Rural,3455.312423053094,3473.189424320277,3455.374923053094,-1723.656211526547,-0.005031795762749192,0.011519486974465344,0.6622511195343952,0.027549926756566007,0.10092422048426228,645,True,0.29706745139810664,0.19147628787619655,incidence_mean_malaria,Malaria,Vulnerabilidad
idx_vulnerabilidad,composite,Vulnerab. (idx),3455.434325584185,3473.311326851368,3455.496825584185,-1723.7171627920925,-0.004708852644617488,0.01795283528278286,0.7930977217104467,0.02755616967709956,0.10164630968450408,645,True,0.4189699824892159,0.1801541209988363,incidence_mean_malaria,Malaria,Vulnerabilidad
